"","edgeuid","median_average_speed"
"1",153101208,0.67
"2",153101210,0.87
"3",153101214,0.39
"4",153101215,0.43
"5",153101217,0.6
"6",153307224,1.7
"7",153307229,1.525
"8",153308590,0.355
"9",153308612,4.09
"10",153308615,3.96
"11",153308616,1.54
"12",153308620,4.62
"13",153308626,2.7
"14",153308633,5.675
"15",153308641,0.85
"16",153308642,3.66
"17",153308653,5.61
"18",153308655,0.17
"19",153308657,5.18
"20",153308658,6.09
"21",153308669,3.03
"22",153308671,2.9
"23",153308672,2.39
"24",153308673,2.57
"25",153308674,1.55
"26",153308675,3.31
"27",153308676,2.62
"28",153308677,1.56
"29",153308682,4.98
"30",153308683,5.79
"31",153308685,5.76
"32",153308702,3.09
"33",153308703,2.38
"34",153308929,2.51
"35",153308962,2.65
"36",153308967,2.06
"37",153308989,3.2
"38",153308991,2.79
"39",153308992,2.95
"40",153308993,3.8
"41",153309120,4.52
"42",153309185,0.5
"43",153309204,1.43
"44",153309205,0.59
"45",153309206,1.48
"46",153309208,1.28
"47",153309209,3.555
"48",153309210,2.985
"49",153309213,5.73
"50",153309214,5.93
"51",153309216,6.4
"52",153309217,4.08
"53",153309221,4.06
"54",153309225,4.615
"55",153309227,2.39
"56",153309228,4.225
"57",153309238,2.77
"58",153309254,4.31
"59",153309259,9.76
"60",153309260,3.41
"61",153309263,2.6475
"62",153309265,2.14
"63",153309270,2.555
"64",153309273,5.645
"65",153309274,4.195
"66",153309278,3.565
"67",153309279,4.02
"68",153309281,3.675
"69",153309282,4.275
"70",153309302,2.74
"71",153309306,4.73
"72",153309307,5.49
"73",153309308,2.8
"74",153309313,4.96
"75",153309315,4.825
"76",153309316,5.73
"77",153309321,4.47
"78",153309322,4.11
"79",153309325,4.935
"80",153309328,4.29
"81",153309330,3.64
"82",153309331,2.695
"83",153309334,3.125
"84",153309336,5.735
"85",153309337,1.955
"86",153309341,2.39
"87",153309370,1.745
"88",153309371,3.965
"89",153309373,5.275
"90",153309374,5.085
"91",153309385,7.18
"92",153309392,1.685
"93",153309394,3.3
"94",153309395,1.705
"95",153309398,6.54
"96",153309400,0.845
"97",153309442,2.82
"98",153309443,5.93
"99",153309466,6.1
"100",153309467,5.98
"101",153309468,3.2
"102",153309469,5.07
"103",153309471,4.165
"104",153309472,4.27
"105",153309473,8.29
"106",153309479,5.67
"107",153309484,5.13
