"","edgeuid","median_average_speed"
"1",153100786,0.52
"2",153101200,1.05
"3",153101208,1.1
"4",153101210,1.195
"5",153101214,0.83
"6",153101215,0.905
"7",153101216,0.73
"8",153101217,1.17
"9",153101233,0.5675
"10",153101244,0.505
"11",153101247,1.235
"12",153101249,1.365
"13",153101250,1.255
"14",153101350,0.46
"15",153101352,0.5
"16",153101353,0.35
"17",153101354,0.42
"18",153101355,0.4
"19",153101356,0.46
"20",153101357,0.305
"21",153101358,1.44
"22",153101359,0.835
"23",153101360,0.4
"24",153101365,1.75
"25",153101366,1.39
"26",153101367,1.06
"27",153101368,0.95
"28",153101369,0.42
"29",153101370,0.68
"30",153101371,0.305
"31",153101372,1.14
"32",153101374,0.83
"33",153101375,1.11
"34",153101376,0.74
"35",153101377,1.38
"36",153101378,0.59
"37",153101379,1.04
"38",153101380,1.08
"39",153101381,1.44
"40",153101382,0.49
"41",153101383,0.745
"42",153101384,1.09
"43",153101385,1.145
"44",153101386,0.74
"45",153101388,0.83
"46",153101389,0.79
"47",153101391,0.44
"48",153101393,0.01
"49",153101394,0.755
"50",153101395,0.54
"51",153101406,0.665
"52",153101407,0.58
"53",153101410,0.615
"54",153101411,0.4
"55",153101415,0.42
"56",153113293,0.375
"57",153113294,0.36
"58",153307148,0.22
"59",153307149,0.095
"60",153307150,0.345
"61",153307151,0.095
"62",153307152,0.08
"63",153307153,0.565
"64",153307156,0.11
"65",153307160,0.3
"66",153307209,0.45
"67",153307210,0.5
"68",153307211,0.56
"69",153307212,0.88
"70",153307213,0.18
"71",153307215,1.06
"72",153307216,1.16
"73",153307217,1.15
"74",153307218,1.285
"75",153307219,0.62
"76",153307222,1.115
"77",153307224,1.145
"78",153307225,1.02
"79",153307226,0.42
"80",153307227,0.08
"81",153307229,0.995
"82",153307230,0.96
"83",153307231,0.48
"84",153307232,1.33
"85",153307233,0.3
"86",153307234,0.515
"87",153307235,0.89
"88",153307237,0.88
"89",153307238,0.42
"90",153307239,1.245
"91",153307240,1.22
"92",153307241,0.77
"93",153307242,0.675
"94",153307243,0.7
"95",153308530,0.65
"96",153308589,0.55
"97",153308590,1
"98",153308596,0.69
"99",153308597,0.55
"100",153308610,0.89
"101",153308612,1.395
"102",153308615,1.27
"103",153308616,1.3
"104",153308617,1.205
"105",153308619,1
"106",153308620,0.98
"107",153308622,0.945
"108",153308623,0.885
"109",153308624,0.72
"110",153308625,4.91
"111",153308626,1
"112",153308627,0.655
"113",153308628,0.735
"114",153308631,1.26
"115",153308632,0.36
"116",153308633,1.21
"117",153308634,9.68
"118",153308638,1.285
"119",153308639,1.21
"120",153308640,1.365
"121",153308641,1.44
"122",153308642,1.14
"123",153308648,0.945
"124",153308649,0.94
"125",153308653,1.365
"126",153308655,1.295
"127",153308657,1.32
"128",153308658,1.35
"129",153308659,1.165
"130",153308661,0.57
"131",153308669,1.07
"132",153308671,1.21
"133",153308672,1.14
"134",153308673,1.18
"135",153308674,0.77
"136",153308675,1.125
"137",153308676,1.34
"138",153308677,1.04
"139",153308682,1.38
"140",153308683,1.36
"141",153308685,1.38
"142",153308702,1.02
"143",153308703,1.22
"144",153308719,2.6175
"145",153308728,0.66
"146",153308729,0.79
"147",153308742,0.8
"148",153308836,0.45
"149",153308837,0.615
"150",153308840,0.345
"151",153308863,1.02
"152",153308864,1.08
"153",153308866,1.11
"154",153308867,0.45
"155",153308868,2.59
"156",153308872,1.26
"157",153308873,1.09
"158",153308874,0.41
"159",153308875,0.3825
"160",153308876,0.04
"161",153308877,0.205
"162",153308878,0.4
"163",153308879,1.34
"164",153308880,0.595
"165",153308881,1.145
"166",153308882,1.12
"167",153308883,0.75
"168",153308884,0.18
"169",153308885,0.925
"170",153308886,0.71
"171",153308887,0.9
"172",153308888,0.685
"173",153308889,0.69
"174",153308891,0.69
"175",153308892,0.76
"176",153308894,0.13
"177",153308895,0.57
"178",153308896,0.98
"179",153308898,0.775
"180",153308899,0.98
"181",153308900,0.885
"182",153308901,1.075
"183",153308902,0.96
"184",153308903,0.85
"185",153308904,1.08
"186",153308905,1.23
"187",153308908,0.92
"188",153308909,0.635
"189",153308910,0.735
"190",153308912,1.13
"191",153308913,0.95
"192",153308924,1.265
"193",153308925,1.25
"194",153308926,1.12
"195",153308928,1.155
"196",153308929,1.85
"197",153308934,1.085
"198",153308936,1.24
"199",153308937,0.35
"200",153308940,1.08
"201",153308941,1.055
"202",153308944,1.305
"203",153308945,0.34
"204",153308946,1.41
"205",153308947,0.335
"206",153308948,0.76
"207",153308949,0.62
"208",153308950,0.6475
"209",153308951,0.915
"210",153308952,1.41
"211",153308955,1.1
"212",153308956,0.2925
"213",153308958,1.16
"214",153308959,1.22
"215",153308960,1.025
"216",153308961,0.99
"217",153308962,0.91
"218",153308964,1.5
"219",153308965,1.19
"220",153308966,1.04
"221",153308967,1.01
"222",153308969,1.19
"223",153308970,0.87
"224",153308971,1.17
"225",153308972,1.165
"226",153308979,0.64
"227",153308980,1.04
"228",153308981,0.66
"229",153308982,1.16
"230",153308983,1.04
"231",153308987,1.1
"232",153308989,1.36
"233",153308990,1.14
"234",153308991,0.99
"235",153308992,0.655
"236",153308993,0.35
"237",153308999,0.14
"238",153309002,0.975
"239",153309003,1.1
"240",153309006,1.245
"241",153309007,1.12
"242",153309008,1.01
"243",153309009,1.23
"244",153309010,1.24
"245",153309011,0.965
"246",153309013,1.34
"247",153309014,1.22
"248",153309015,1.325
"249",153309016,0.9
"250",153309017,0.79
"251",153309018,0.86
"252",153309019,3.69
"253",153309020,1.12
"254",153309021,1.97
"255",153309022,1.155
"256",153309023,0.955
"257",153309024,0.65
"258",153309025,1.17
"259",153309026,1.0375
"260",153309027,0.93
"261",153309028,1.17
"262",153309031,0.92
"263",153309032,1.26
"264",153309033,1.1
"265",153309034,1.065
"266",153309035,0.84
"267",153309036,1.2
"268",153309037,1.105
"269",153309038,1.305
"270",153309040,0.985
"271",153309041,0.97
"272",153309042,1.36
"273",153309043,0.99
"274",153309045,1.165
"275",153309046,1.14
"276",153309049,1.265
"277",153309050,1.235
"278",153309051,1.235
"279",153309052,1.31
"280",153309056,0.75
"281",153309057,0.72
"282",153309059,1.32
"283",153309060,1.385
"284",153309061,0.81
"285",153309062,1.135
"286",153309063,2.08
"287",153309064,0.9
"288",153309065,1.085
"289",153309066,0.835
"290",153309068,0.66
"291",153309070,0.76
"292",153309071,1
"293",153309072,1.27
"294",153309073,1.2175
"295",153309074,1.005
"296",153309076,1.075
"297",153309077,1.14
"298",153309078,1.115
"299",153309081,0.935
"300",153309083,1.02
"301",153309084,0
"302",153309085,0.68
"303",153309086,1.095
"304",153309088,0.91
"305",153309089,1.085
"306",153309091,1.34
"307",153309092,0.765
"308",153309093,1.28
"309",153309094,0.96
"310",153309095,1.37
"311",153309096,1.225
"312",153309097,0.575
"313",153309098,0.42
"314",153309099,0.82
"315",153309102,0.99
"316",153309103,0.535
"317",153309104,1.28
"318",153309105,0.645
"319",153309106,0.95
"320",153309107,1.01
"321",153309108,0.43
"322",153309109,1.12
"323",153309110,0.94
"324",153309111,0.825
"325",153309112,1.165
"326",153309113,0.94
"327",153309114,0.93
"328",153309115,0.71
"329",153309116,0.965
"330",153309120,2.23
"331",153309125,0.9
"332",153309126,0.98
"333",153309129,0.56
"334",153309131,0.43
"335",153309132,0.75
"336",153309133,1.47
"337",153309134,0.84
"338",153309135,0.61
"339",153309136,0.745
"340",153309137,0.82
"341",153309139,0.565
"342",153309140,0.99
"343",153309141,0.55
"344",153309142,1.19
"345",153309143,0.36
"346",153309144,1.25
"347",153309145,0.37
"348",153309146,1.05
"349",153309149,0.44
"350",153309150,0.8
"351",153309151,1.11
"352",153309152,0.96
"353",153309153,0.985
"354",153309154,0.645
"355",153309155,0.74
"356",153309156,0.68
"357",153309157,0.585
"358",153309158,0.32
"359",153309161,0.48
"360",153309162,1.03
"361",153309163,0.36
"362",153309165,0.4
"363",153309167,0.865
"364",153309168,1.12
"365",153309169,0.66
"366",153309171,1.15
"367",153309175,1.025
"368",153309176,0.9
"369",153309177,0.75
"370",153309178,0.76
"371",153309179,0.82
"372",153309181,1.02
"373",153309182,0.715
"374",153309183,0.43
"375",153309185,1.08
"376",153309186,0.875
"377",153309187,0.555
"378",153309188,1.22
"379",153309189,0.815
"380",153309190,0.45
"381",153309191,0.39
"382",153309192,0.605
"383",153309193,0.54
"384",153309194,0.3325
"385",153309195,0.43
"386",153309196,0.74
"387",153309197,0.73
"388",153309198,0.965
"389",153309199,0.83
"390",153309200,1.18
"391",153309201,1.195
"392",153309202,0.535
"393",153309203,0.435
"394",153309204,0.96
"395",153309205,1.44
"396",153309206,1.35
"397",153309207,0.96
"398",153309209,1.14
"399",153309210,1.19
"400",153309211,0.845
"401",153309212,1.37
"402",153309213,1.25
"403",153309214,1.205
"404",153309216,1.45
"405",153309217,1.09
"406",153309221,1.37
"407",153309225,1.395
"408",153309227,1.18
"409",153309228,0.935
"410",153309229,0.535
"411",153309233,0.06
"412",153309234,0.98
"413",153309235,0.69
"414",153309236,0
"415",153309237,0.7825
"416",153309238,1.26
"417",153309241,0.98
"418",153309242,0.645
"419",153309244,0.94
"420",153309246,1.245
"421",153309249,0.865
"422",153309250,0.77
"423",153309254,1.37
"424",153309255,1.29
"425",153309259,0.48
"426",153309260,1.23
"427",153309262,0.055
"428",153309263,0.265
"429",153309264,0.925
"430",153309265,1.26
"431",153309266,0.97
"432",153309267,1.09
"433",153309268,1.07
"434",153309270,1.28
"435",153309271,0.5
"436",153309273,1.49
"437",153309274,1.37
"438",153309278,1.33
"439",153309279,1.4
"440",153309281,1.39
"441",153309282,1.37
"442",153309287,0.77
"443",153309288,0.36
"444",153309289,0.695
"445",153309290,0.78
"446",153309292,0.38
"447",153309293,0.57
"448",153309294,0.365
"449",153309295,0.35
"450",153309296,0.41
"451",153309297,0.39
"452",153309298,0.865
"453",153309299,0.22
"454",153309300,0.35
"455",153309301,0.22
"456",153309302,0.94
"457",153309303,1.0275
"458",153309306,1.4
"459",153309307,1.42
"460",153309308,1.28
"461",153309313,1.285
"462",153309315,1.345
"463",153309316,1.41
"464",153309318,0.05
"465",153309321,1.325
"466",153309322,1.2825
"467",153309324,0.7
"468",153309325,1.385
"469",153309326,1.235
"470",153309327,1.11
"471",153309328,1.26
"472",153309330,1.24
"473",153309331,1.34
"474",153309332,0.2
"475",153309333,0.07
"476",153309334,1.24
"477",153309335,0.055
"478",153309336,1.32
"479",153309337,1.13
"480",153309340,0.46
"481",153309341,1.14
"482",153309349,0.75
"483",153309350,0.65
"484",153309351,0.45
"485",153309352,0.46
"486",153309353,0.43
"487",153309354,0.73
"488",153309355,0.975
"489",153309356,0.91
"490",153309357,0.47
"491",153309358,0.39
"492",153309359,0.51
"493",153309360,0.85
"494",153309361,0.325
"495",153309362,0.21
"496",153309363,0.04
"497",153309365,0.6
"498",153309366,0.53
"499",153309367,0.235
"500",153309368,0.53
"501",153309369,0.385
"502",153309370,0.83
"503",153309371,0.19
"504",153309372,0.7
"505",153309373,1.13
"506",153309374,1.32
"507",153309385,1.435
"508",153309392,1.13
"509",153309394,1.54
"510",153309395,1.24
"511",153309396,0.84
"512",153309398,1.29
"513",153309400,1.095
"514",153309401,0.62
"515",153309420,0.1
"516",153309421,0.2725
"517",153309422,0.67
"518",153309423,0.44
"519",153309424,0.87
"520",153309425,0.56
"521",153309426,0.44
"522",153309433,0.705
"523",153309435,0.84
"524",153309438,0.58
"525",153309439,0.47
"526",153309440,0.58
"527",153309442,1.06
"528",153309443,1.1
"529",153309444,0.44
"530",153309458,0.51
"531",153309459,0.54
"532",153309460,0.545
"533",153309466,1.42
"534",153309467,1.6
"535",153309468,1.41
"536",153309469,1.335
"537",153309471,1.44
"538",153309472,1.355
"539",153309473,1.45
"540",153309479,1.39
"541",153309480,0.56
"542",153309481,0.86
"543",153309482,1.23
"544",153309483,0.71
"545",153309484,1.4
"546",153309485,1.105
"547",153309486,1.25
"548",153309487,1.31
"549",153309488,0.39
"550",153309489,1.79
"551",153309498,1.3
"552",153309499,1.22
"553",153309500,1.18
"554",153309501,0.69
"555",153309502,1.23
"556",153309504,0.91
"557",153309505,0.79
"558",153309506,0.66
"559",153309507,1.02
"560",153309508,0.96
"561",153309509,1.11
"562",153309510,0.81
"563",153309512,1.09
"564",153309513,0.82
"565",153309514,0.64
"566",153309528,0.98
"567",153309530,1.105
"568",153309531,0.4
"569",153309535,1.385
"570",153309537,1.69
"571",153309539,1.265
"572",153309540,0.75
"573",153309542,0.81
"574",153309543,0.72
"575",153309544,0.93
"576",153309546,0.85
"577",153309547,0.72
"578",153309549,1.37
"579",153309550,0.32
"580",153309551,0.39
"581",153309552,1.1
"582",153309554,0.56
"583",153309555,1.19
"584",153309556,0.84
"585",153309557,0.79
"586",153309558,0.845
"587",153309559,0.455
"588",153309560,0.42
"589",153309561,0.51
"590",153309562,0.0325
"591",153309563,0.285
"592",153309564,0.61
"593",153309565,1.2525
"594",153309566,1.09
"595",153309567,0.6825
"596",153309568,0.635
"597",153309569,0.84
"598",153309570,0.32
"599",153309571,0.41
"600",153309572,0.785
"601",153309573,0
"602",153309574,1.045
"603",153309575,1.32
"604",153309576,0.76
"605",153309577,1.18
"606",153309578,0.35
"607",153309579,0.885
"608",153309580,0.83
"609",153309581,0.16
"610",153309582,0.825
"611",153309583,0.82
"612",153309584,0.71
"613",153309585,0.835
"614",153309586,0.23
"615",153309587,0.25
"616",153309588,0.58
"617",153309589,0.9
"618",153309590,0.45
"619",153309591,0.85
"620",153309592,0.83
"621",153309593,0.25
"622",153309594,0.265
"623",153309595,0.95
"624",153309596,0.6425
"625",153309597,0.3175
"626",153309598,0.57
"627",153309599,0.32
"628",153309600,0.1425
"629",153309601,0.715
"630",153309602,0.78
"631",153309603,0.805
"632",153309604,0.515
"633",153309605,0.51
"634",153309607,5.935
"635",153309608,1.21
"636",153309609,0.74
"637",153309611,0.57
"638",153309616,0.87
"639",153309617,0.61
"640",153309618,0.68
"641",153309619,0.35
"642",153309620,1.245
"643",153309621,1.13
"644",153309622,0.8825
"645",153309623,0.78
"646",153309624,1.155
"647",153309625,0.42
"648",153309626,0.225
"649",153309627,0.37
"650",153309628,0.755
"651",153309629,0.31
"652",153309630,0.26
"653",153309631,0.43
"654",153309632,0.2175
"655",153309633,0.15
"656",153309634,0.09
"657",153309635,0.13
"658",153309636,0.15
"659",153309637,0.42
"660",153309638,0.805
"661",153309639,0.605
"662",153309640,0.955
"663",153309641,1.14
"664",153309642,0.245
"665",153309643,0.83
"666",153309644,1.145
"667",153309645,1.0225
"668",153309646,1.165
"669",153309647,1.08
"670",153309648,1.11
"671",153309649,1.21
"672",153309650,0.05
"673",153309651,0.41
"674",153309652,1.22
"675",153309653,1.13
"676",153309654,1.23
"677",153309655,0.725
"678",153309656,1.525
"679",153309657,0.84
"680",153309658,0.515
"681",153309659,1.06
"682",153309660,1.33
"683",153309663,4.18
"684",153309675,1.2
"685",153309680,1.12
"686",153309681,1.165
"687",153309682,1.22
"688",153309683,0.77
"689",153309685,1.255
"690",153309686,0.91
"691",153309687,0.84
"692",153309689,0.97
"693",153309690,1.34
"694",153309691,0.92
"695",153309692,1.47
"696",153309693,1.42
"697",153309694,2.415
"698",153309696,0.81
"699",153309697,0.855
"700",153309698,0.9
"701",153309740,1.16
"702",153309741,1.21
"703",153309742,1.35
"704",153309745,0.97
"705",153309746,1.105
"706",153309747,1.06
"707",153309748,1.075
"708",153309749,1.305
"709",153309750,1.285
"710",153309751,1.46
"711",153309752,0
"712",153309753,0.83
"713",153309755,1.39
"714",153309757,1.295
"715",153309758,0
"716",153309759,0
"717",153309766,1.01
"718",153309769,0.98
"719",153309770,1.17
"720",153309771,1.24
"721",153309773,1.24
"722",153309776,1.25
"723",153309778,1.25
"724",153309782,1.045
"725",153309783,1.185
"726",153309807,0
"727",153309816,0.41
"728",153309819,0.64
"729",153309820,0.92
"730",153309821,0.84
"731",153309823,0.79
"732",153309825,0.63
"733",153309828,0.85
"734",153309829,0.515
"735",153309830,1.03
"736",153309831,1.13
"737",153309832,0.92
"738",153309833,1.055
"739",153309835,0.8
"740",153309836,0.945
"741",153309838,1.055
"742",153309841,0.925
"743",153309842,0.92
"744",153309843,1.12
"745",153309844,0.845
"746",153309845,1.16
"747",153309846,1.34
"748",153309847,4.185
"749",153309848,0.76
"750",153309849,0.76
"751",153309850,1.21
"752",153309851,1.05
"753",153309865,1.04
"754",153309866,0.87
"755",153309867,1.285
"756",153309897,1.32
"757",153309898,1.18
"758",153309904,1.18
"759",153309911,0.49
"760",153309913,0.86
"761",153309914,0.8
"762",153309915,0.725
"763",153309925,1.27
"764",153309927,1.01
"765",153309928,2.25
"766",153309943,1.02
"767",153309944,1.01
"768",153309945,1
"769",153309946,0.78
"770",153309947,0.64
"771",153309950,0.43
"772",153309967,1.01
"773",153309968,1.64
"774",153310005,0.62
"775",153310006,0.455
"776",153310007,0.44
"777",153310008,0.605
"778",153310014,1.19
"779",153310015,1.1
"780",153310062,1.025
"781",153310063,1.21
"782",153310064,0.94
"783",153310065,0.9
"784",153310066,0.62
"785",153310067,1.235
"786",153310068,1.19
"787",153310069,1.02
"788",153310070,0.86
"789",153310071,0.58
"790",153310072,0.94
"791",153310073,0.75
"792",153310074,0.25
"793",153310075,0.525
"794",153310076,0.545
"795",153310077,0.755
"796",153310078,1.23
"797",153310079,1.25
"798",153310081,1.37
"799",153310082,1.43
"800",153310096,1.22
"801",153310097,0.66
"802",153310216,1.095
"803",153310217,0.69
"804",153310218,1.15
"805",153310219,1.19
"806",153310220,1.28
"807",153310221,0.925
"808",153310224,19.52
"809",153310226,19.11
"810",153310228,5.09
"811",153310234,0.42
"812",153310235,1.06
"813",153310236,1.63
"814",153310241,1.44
"815",153310244,1.3
"816",153310247,0.86
"817",153310248,1.62
"818",153310252,5.99
"819",153310256,1.42
"820",153310257,1.27
"821",153310259,1.11
"822",153310260,0.92
"823",153310261,1.02
"824",153310273,1.205
"825",153310311,1.48
"826",153310312,1.28
"827",153310313,1.32
"828",153310319,21.02
"829",153310320,21.22
"830",153310328,1.25
"831",153310342,1.235
"832",153310343,1.2
"833",153310344,1.11
"834",153310345,0.715
"835",153310346,0.55
"836",153310350,0.94
"837",153310361,0.675
"838",153310373,0.94
"839",153310374,0.02
"840",153310375,0.11
"841",153310376,1.4
"842",153310377,1.03
"843",153310389,1.02
"844",153310390,1.13
"845",153310393,1.595
"846",153310396,1.345
"847",153310397,0.7
"848",153310398,1.015
"849",153310399,1.265
"850",153310400,1.345
"851",153310401,0.94
"852",153310405,1.59
"853",153310406,12.37
"854",153310425,1.21
"855",153310426,1.375
"856",153310490,1.33
"857",153310491,1.045
"858",153310513,1.06
"859",153310517,1.37
"860",153310519,1.19
"861",153310520,1.12
"862",153310521,1.235
"863",153310523,1.06
"864",153310524,1.23
"865",153310527,1.49
"866",153310529,1.14
"867",153310538,1.3075
"868",153310539,1.45
"869",153310540,0.85
"870",153310542,1.165
"871",153310543,0.365
"872",153310544,0.59
"873",153310545,0.56
"874",153310546,0.925
"875",153310549,0.92
"876",153310553,0.5
"877",153310561,0.71
"878",153310562,1.14
"879",153310563,0.76
"880",153310564,0.99
"881",153310567,11.32
"882",153310578,1.32
"883",153310581,0.63
"884",153310582,0.87
"885",153310584,4.68
"886",153310585,1.11
"887",153310601,1.25
"888",153310602,1.22
"889",153310603,1.1
"890",153310604,1.135
"891",153310605,0.58
"892",153310609,1.25
"893",153310611,1.5
"894",153310612,0.95
"895",153310613,0.18
"896",153310614,0.34
"897",153310618,0.335
"898",153310619,1.18
"899",153310621,1.23
"900",153310622,1.17
"901",153310623,1.25
"902",153310625,1.24
"903",153310626,0.82
"904",153310627,1.11
"905",153310631,1.09
"906",153310632,0.99
"907",153310633,0.285
"908",153310634,1.4
"909",153310636,0.82
"910",153310637,1.01
"911",153310638,0.71
"912",153310640,1.26
"913",153310641,1.4
"914",153310642,0.43
"915",153310647,0.76
"916",153310670,1.38
"917",153310672,1.16
"918",153310673,0.69
"919",153310674,1.46
"920",153310675,1.395
"921",153310677,1.29
"922",153310689,0.9
"923",153310691,0.45
"924",153310692,0.52
"925",153310693,0.77
"926",153310698,1.17
"927",153310700,0.76
"928",153310702,1.4
"929",153310704,0.715
"930",153310705,0.845
"931",153310706,1.4
"932",153310707,1.11
"933",153310708,1.06
"934",153310709,0.54
"935",153310713,1.43
"936",153310715,0.985
"937",153310716,1.335
"938",153310717,1.405
"939",153310718,0.47
"940",153310719,1.425
"941",153310725,1.035
"942",153310726,0.4
"943",153310727,1.24
"944",153310728,1.24
"945",153310729,1.22
"946",153310730,1.13
"947",153310731,1.185
"948",153310732,0.62
"949",153310733,0.82
"950",153310737,1.35
"951",153310739,1.17
"952",153310774,1.35
"953",153310775,1.315
"954",153310776,0.94
"955",153310779,1.165
"956",153310780,0.71
"957",153310788,0.42
"958",153310789,0.55
"959",153310791,1
"960",153310802,1.275
"961",153310821,0.68
"962",153310824,0.42
"963",153310825,0.43
"964",153310826,0.49
"965",153310827,1.13
"966",153310833,1.28
"967",153310834,1.09
"968",153310836,1.15
"969",153310837,1.355
"970",153310838,0.51
"971",153310839,0.455
"972",153310840,1.015
"973",153310842,1.11
"974",153310843,0.44
"975",153310846,0.32
"976",153310847,0.76
"977",153310848,0.595
"978",153310849,0.53
"979",153310850,1.26
"980",153310851,0.64
"981",153310852,0.625
"982",153310854,0.585
"983",153310858,1.27
"984",153310865,1.18
"985",153310866,1.08
"986",153310867,0.86
"987",153310868,0.96
"988",153310869,0.92
"989",153310870,1.22
"990",153310871,1.015
"991",153310872,1.19
"992",153310873,1.24
"993",153310875,1.085
"994",153310876,1.37
"995",153310877,1.285
"996",153310879,0.875
"997",153310880,0.175
"998",153310881,0.37
"999",153310885,1.41
"1000",153310886,1.025
"1001",153310887,0.14
"1002",153310888,0.79
"1003",153310889,1.37
"1004",153310890,1.19
"1005",153310891,1.12
"1006",153310892,1.55
"1007",153310894,1.36
"1008",153310895,1.505
"1009",153310896,1.46
"1010",153310908,1.16
"1011",153310909,1
"1012",153310911,1.13
"1013",153310912,0.31
"1014",153310913,0.03
"1015",153310916,0.745
"1016",153310918,0.83
"1017",153310920,0.52
"1018",153310921,1.6
"1019",153310922,0.85
"1020",153310925,1.16
"1021",153310926,1.09
"1022",153310929,1.285
"1023",153310930,0.195
"1024",153310931,0.63
"1025",153310932,0.02
"1026",153310933,1.22
"1027",153310934,0.315
"1028",153310935,1.11
"1029",153310937,0.795
"1030",153310938,0.635
"1031",153310939,1.49
"1032",153310940,1.37
"1033",153310941,0.94
"1034",153310942,0.85
"1035",153310943,1.19
"1036",153310945,1.495
"1037",153310947,0.965
"1038",153310948,0.99
"1039",153310949,0.79
"1040",153310950,1.085
"1041",153310952,1.34
"1042",153310954,0.47
"1043",153310955,0.915
"1044",153310956,2.03
"1045",153310957,1.655
"1046",153310958,1.775
"1047",153310959,1.585
"1048",153310960,2.6
"1049",153310962,1.25
"1050",153310963,0.56
"1051",153310964,0.79
"1052",153310965,0.65
"1053",153310966,1.305
"1054",153310967,1.42
"1055",153310970,1.28
"1056",153310971,1.33
"1057",153310972,1.5
"1058",153310973,1.635
"1059",153310974,2.68
"1060",153310976,0.85
"1061",153310977,0.635
"1062",153310978,0.29
"1063",153310979,0
"1064",153310980,0.5
"1065",153310981,1.2
"1066",153310982,1.235
"1067",153310983,0.36
"1068",153310985,1.12
"1069",153310986,1.58
"1070",153310987,0.88
"1071",153310988,0.3
"1072",153310989,1.32
"1073",153310991,2.49
"1074",153310992,2.59
"1075",153310993,0.77
"1076",153310994,1.16
"1077",153310995,0
"1078",153310997,1.41
"1079",153310998,1.14
"1080",153311000,1.72
"1081",153311002,0.2
"1082",153311003,0.57
"1083",153311004,0.74
"1084",153311008,1.52
"1085",153311009,1.34
"1086",153311013,1.46
"1087",153311018,1.915
"1088",153311019,0
"1089",153311021,0.64
"1090",153311022,0.935
"1091",153311024,0.33
"1092",153311025,0.31
"1093",153311026,0.41
"1094",153311028,0
"1095",153311029,1.11
"1096",153311030,1.3575
"1097",153311031,0.78
"1098",153311034,0.78
"1099",153311035,2.02
"1100",153311036,0.605
"1101",153311038,0.16
"1102",153311039,0.695
"1103",153311049,0.71
"1104",153311050,1.38
"1105",153311051,2.735
"1106",153311052,0.49
"1107",153311053,1.39
"1108",153311055,0.695
"1109",153311056,0.63
"1110",153311057,0.73
"1111",153311059,0.91
"1112",153311060,1
"1113",153311064,0
"1114",153311067,0.68
"1115",153311068,0.64
"1116",153311072,1.06
"1117",153311073,0.93
"1118",153311074,0.015
"1119",153311077,0.995
"1120",153311079,1.105
"1121",153311080,1.19
"1122",153311081,1.05
"1123",153311087,1.23
"1124",153311091,0.63
"1125",153311092,0.74
"1126",153311093,0.91
"1127",153311094,1.14
"1128",153311095,1.29
"1129",153311096,1.05
"1130",153311097,1.1
"1131",153311099,1
"1132",153311100,0.9
"1133",153311101,1.13
"1134",153311103,1.2
"1135",153311105,0.91
"1136",153311106,0.515
"1137",153311107,0.56
"1138",153311108,0.385
"1139",153311110,0.71
"1140",153311112,0.48
"1141",153311113,0.73
"1142",153311114,0.26
"1143",153311115,0.97
"1144",153311117,1.64
"1145",153311118,1.18
"1146",153311119,1.1
"1147",153311120,0.9
"1148",153311121,0.9525
"1149",153311122,0.6
"1150",153311123,1.13
"1151",153311125,0.81
"1152",153311126,0.995
"1153",153311128,0.175
"1154",153311129,1.67
"1155",153311130,0.71
"1156",153311131,1.21
"1157",153311132,0.94
