"","edgeuid","total_bikers"
"1",153101200,80
"2",153101208,130
"3",153101210,145
"4",153101214,125
"5",153101215,105
"6",153101216,105
"7",153101217,140
"8",153101244,5
"9",153101247,515
"10",153101249,520
"11",153101250,525
"12",153101350,5
"13",153101364,5
"14",153101365,270
"15",153101366,260
"16",153101367,270
"17",153101369,275
"18",153101370,335
"19",153101371,305
"20",153101372,325
"21",153101373,50
"22",153101374,5
"23",153101375,385
"24",153101376,340
"25",153101383,10
"26",153101384,5
"27",153101385,5
"28",153101386,5
"29",153101389,5
"30",153101391,5
"31",153101394,5
"32",153307209,10
"33",153307210,10
"34",153307211,10
"35",153307212,10
"36",153307213,10
"37",153307214,20
"38",153307215,150
"39",153307216,235
"40",153307217,245
"41",153307218,210
"42",153307220,15
"43",153307221,5
"44",153307222,220
"45",153307224,270
"46",153307225,75
"47",153307227,60
"48",153307229,360
"49",153307230,350
"50",153307231,5
"51",153307232,310
"52",153307235,5
"53",153307237,295
"54",153307239,215
"55",153307240,255
"56",153307241,5
"57",153308589,10
"58",153308590,700
"59",153308591,685
"60",153308592,745
"61",153308610,5
"62",153308612,480
"63",153308613,490
"64",153308614,485
"65",153308615,520
"66",153308616,515
"67",153308617,305
"68",153308619,5
"69",153308620,205
"70",153308621,10
"71",153308622,20
"72",153308623,20
"73",153308624,20
"74",153308625,20
"75",153308626,230
"76",153308629,745
"77",153308633,220
"78",153308636,10
"79",153308637,735
"80",153308638,610
"81",153308639,640
"82",153308640,620
"83",153308641,960
"84",153308642,205
"85",153308644,740
"86",153308646,740
"87",153308648,10
"88",153308653,990
"89",153308654,715
"90",153308655,730
"91",153308657,1030
"92",153308658,970
"93",153308659,15
"94",153308660,25
"95",153308669,445
"96",153308670,5
"97",153308671,725
"98",153308672,715
"99",153308673,715
"100",153308674,710
"101",153308675,615
"102",153308676,350
"103",153308677,605
"104",153308678,10
"105",153308680,720
"106",153308681,730
"107",153308682,1000
"108",153308683,995
"109",153308685,1015
"110",153308686,1015
"111",153308687,20
"112",153308689,75
"113",153308690,20
"114",153308694,65
"115",153308696,865
"116",153308699,15
"117",153308700,565
"118",153308701,490
"119",153308702,600
"120",153308703,580
"121",153308704,955
"122",153308706,5
"123",153308707,20
"124",153308708,25
"125",153308709,55
"126",153308710,70
"127",153308711,940
"128",153308712,955
"129",153308713,960
"130",153308714,955
"131",153308720,45
"132",153308721,65
"133",153308723,20
"134",153308724,45
"135",153308725,15
"136",153308726,35
"137",153308727,15
"138",153308728,20
"139",153308729,20
"140",153308730,45
"141",153308731,5
"142",153308732,30
"143",153308733,80
"144",153308737,120
"145",153308738,5
"146",153308739,20
"147",153308740,70
"148",153308742,20
"149",153308743,70
"150",153308744,50
"151",153308747,25
"152",153308748,35
"153",153308749,5
"154",153308848,4100
"155",153308857,5
"156",153308859,4115
"157",153308860,4095
"158",153308861,4080
"159",153308862,4035
"160",153308863,70
"161",153308864,60
"162",153308866,95
"163",153308872,25
"164",153308874,60
"165",153308875,10
"166",153308879,30
"167",153308880,5
"168",153308881,30
"169",153308882,30
"170",153308883,35
"171",153308885,95
"172",153308886,50
"173",153308887,15
"174",153308891,10
"175",153308893,5
"176",153308894,45
"177",153308895,90
"178",153308896,60
"179",153308898,50
"180",153308900,15
"181",153308901,20
"182",153308902,25
"183",153308904,15
"184",153308905,35
"185",153308908,35
"186",153308909,25
"187",153308910,10
"188",153308912,15
"189",153308913,10
"190",153308915,5
"191",153308916,4090
"192",153308918,4055
"193",153308919,4075
"194",153308920,5
"195",153308922,4170
"196",153308927,755
"197",153308928,15
"198",153308929,665
"199",153308934,90
"200",153308937,15
"201",153308940,10
