"","edgeuid","total_hikers"
"1",153100786,5
"2",153101200,10
"3",153101208,10
"4",153101210,10
"5",153101214,10
"6",153101215,10
"7",153101216,10
"8",153101217,10
"9",153101233,15
"10",153101244,20
"11",153101247,10
"12",153101249,10
"13",153101250,10
"14",153101350,20
"15",153101352,5
"16",153101353,5
"17",153101354,5
"18",153101355,5
"19",153101356,5
"20",153101357,10
"21",153101358,15
"22",153101359,10
"23",153101360,5
"24",153101365,5
"25",153101366,15
"26",153101367,15
"27",153101368,20
"28",153101369,5
"29",153101370,5
"30",153101371,10
"31",153101372,15
"32",153101374,15
"33",153101375,15
"34",153101376,15
"35",153101377,10
"36",153101378,5
"37",153101379,5
"38",153101380,5
"39",153101381,5
"40",153101382,5
"41",153101383,40
"42",153101384,60
"43",153101385,60
"44",153101386,45
"45",153101388,45
"46",153101389,60
"47",153101391,45
"48",153101393,20
"49",153101394,50
"50",153101395,45
"51",153101406,10
"52",153101407,35
"53",153101410,10
"54",153101411,25
"55",153101415,10
"56",153113293,20
"57",153113294,25
"58",153307148,35
"59",153307149,20
"60",153307150,10
"61",153307151,10
"62",153307152,15
"63",153307153,10
"64",153307156,5
"65",153307160,10
"66",153307209,565
"67",153307210,610
"68",153307211,570
"69",153307212,565
"70",153307213,605
"71",153307215,570
"72",153307216,645
"73",153307217,680
"74",153307218,140
"75",153307219,410
"76",153307222,645
"77",153307224,680
"78",153307225,185
"79",153307226,40
"80",153307227,145
"81",153307229,900
"82",153307230,960
"83",153307231,595
"84",153307232,115
"85",153307233,325
"86",153307234,540
"87",153307235,560
"88",153307237,850
"89",153307238,560
"90",153307239,80
"91",153307240,715
"92",153307241,535
"93",153307242,50
"94",153307243,45
"95",153308530,25
"96",153308589,5
"97",153308590,600
"98",153308591,190
"99",153308592,190
"100",153308596,30
"101",153308597,30
"102",153308610,585
"103",153308612,810
"104",153308613,840
"105",153308614,860
"106",153308615,855
"107",153308616,855
"108",153308617,120
"109",153308619,595
"110",153308620,125
"111",153308622,25
"112",153308623,25
"113",153308624,25
"114",153308625,25
"115",153308626,125
"116",153308627,40
"117",153308628,40
"118",153308629,190
"119",153308630,5
"120",153308631,5
"121",153308632,5
"122",153308633,140
"123",153308634,10
"124",153308637,485
"125",153308638,330
"126",153308639,365
"127",153308640,355
"128",153308641,400
"129",153308642,145
"130",153308644,475
"131",153308645,25
"132",153308646,460
"133",153308647,5
"134",153308648,30
"135",153308649,10
"136",153308653,410
"137",153308654,475
"138",153308655,480
"139",153308657,470
"140",153308658,450
"141",153308659,40
"142",153308660,45
"143",153308661,5
"144",153308669,380
"145",153308671,545
"146",153308672,540
"147",153308673,520
"148",153308674,475
"149",153308675,450
"150",153308676,280
"151",153308677,450
"152",153308680,495
"153",153308681,475
"154",153308682,420
"155",153308683,430
"156",153308685,415
"157",153308686,390
"158",153308687,125
"159",153308689,170
"160",153308690,125
"161",153308694,180
"162",153308695,5
"163",153308696,260
"164",153308697,10
"165",153308699,30
"166",153308700,420
"167",153308701,400
"168",153308702,420
"169",153308703,420
"170",153308704,215
"171",153308707,5
"172",153308708,5
"173",153308709,25
"174",153308710,10
"175",153308711,100
"176",153308712,120
"177",153308713,120
"178",153308714,100
"179",153308719,20
"180",153308720,65
"181",153308721,180
"182",153308723,55
"183",153308724,65
"184",153308725,10
"185",153308726,110
"186",153308727,105
"187",153308728,65
"188",153308729,65
"189",153308730,70
"190",153308732,65
"191",153308733,125
"192",153308737,135
"193",153308738,40
"194",153308739,45
"195",153308740,35
"196",153308742,85
"197",153308743,35
"198",153308744,5
"199",153308746,5
"200",153308747,80
"201",153308748,140
"202",153308749,10
"203",153308836,200
"204",153308837,110
"205",153308840,75
"206",153308863,195
"207",153308864,225
"208",153308866,210
"209",153308867,5
"210",153308868,10
"211",153308872,5
"212",153308873,10
"213",153308874,10
"214",153308875,360
"215",153308876,25
"216",153308877,10
"217",153308878,40
"218",153308879,275
"219",153308880,20
"220",153308881,220
"221",153308882,210
"222",153308883,360
"223",153308884,5
"224",153308885,375
"225",153308886,350
"226",153308887,160
"227",153308888,115
"228",153308889,35
"229",153308891,110
"230",153308892,105
"231",153308894,150
"232",153308895,165
"233",153308896,155
"234",153308898,135
"235",153308899,160
"236",153308900,10
"237",153308901,10
"238",153308902,120
"239",153308903,40
"240",153308904,30
"241",153308905,25
"242",153308908,195
"243",153308909,235
"244",153308910,15
"245",153308912,20
"246",153308913,15
"247",153308920,5
"248",153308922,15
"249",153308924,10
"250",153308925,10
"251",153308926,5
"252",153308927,15
"253",153308928,10
"254",153308929,20
"255",153308934,210
"256",153308936,5
"257",153308937,45
"258",153308940,15
"259",153308941,25
"260",153308944,45
"261",153308945,5
"262",153308946,5
"263",153308947,65
"264",153308948,5
"265",153308949,70
"266",153308950,70
"267",153308951,10
"268",153308952,5
"269",153308955,80
"270",153308956,45
"271",153308958,80
"272",153308959,75
"273",153308960,110
"274",153308961,5
"275",153308962,145
"276",153308964,5
"277",153308965,65
"278",153308966,75
"279",153308967,120
"280",153308969,40
"281",153308970,25
"282",153308971,100
"283",153308972,130
"284",153308973,95
"285",153308974,20
"286",153308976,5
"287",153308977,90
"288",153308978,20
"289",153308979,65
"290",153308980,80
"291",153308981,45
"292",153308982,30
"293",153308983,65
"294",153308984,20
"295",153308985,25
"296",153308986,55
"297",153308987,40
"298",153308988,10
"299",153308989,160
"300",153308990,85
"301",153308991,30
"302",153308992,145
"303",153308993,35
"304",153308999,5
"305",153309002,60
"306",153309003,65
"307",153309006,65
"308",153309007,60
"309",153309008,60
"310",153309009,45
"311",153309010,45
"312",153309011,75
"313",153309013,15
"314",153309014,40
"315",153309015,55
"316",153309016,90
"317",153309017,135
"318",153309018,5
"319",153309019,5
"320",153309020,65
"321",153309021,40
"322",153309022,180
"323",153309023,50
"324",153309024,45
"325",153309025,195
"326",153309026,25
"327",153309027,85
"328",153309028,70
"329",153309031,5
"330",153309032,5
"331",153309033,185
"332",153309034,25
"333",153309035,5
"334",153309036,35
"335",153309037,205
"336",153309038,30
"337",153309040,50
"338",153309041,5
"339",153309042,85
"340",153309043,35
"341",153309045,100
"342",153309046,85
"343",153309049,60
"344",153309050,60
"345",153309051,30
"346",153309052,25
"347",153309056,5
"348",153309057,15
"349",153309059,100
"350",153309060,85
"351",153309061,10
"352",153309062,20
"353",153309063,15
"354",153309064,15
"355",153309065,30
"356",153309066,30
"357",153309068,35
"358",153309070,55
"359",153309071,70
"360",153309072,70
"361",153309073,15
"362",153309074,150
"363",153309076,10
"364",153309077,10
"365",153309078,10
"366",153309081,50
"367",153309083,140
"368",153309084,10
"369",153309085,105
"370",153309086,70
"371",153309088,25
"372",153309089,100
"373",153309091,110
"374",153309092,20
"375",153309093,115
"376",153309094,15
"377",153309095,150
"378",153309096,160
"379",153309097,15
"380",153309098,5
"381",153309099,10
"382",153309102,20
"383",153309103,20
"384",153309104,35
"385",153309105,10
"386",153309106,25
"387",153309107,60
"388",153309108,10
"389",153309109,35
"390",153309110,35
"391",153309111,10
"392",153309112,50
"393",153309113,65
"394",153309114,70
"395",153309115,65
"396",153309116,60
"397",153309120,20
"398",153309125,65
"399",153309126,70
"400",153309129,75
"401",153309131,70
"402",153309132,80
"403",153309133,20
"404",153309134,75
"405",153309135,95
"406",153309136,90
"407",153309137,95
"408",153309139,105
"409",153309140,50
"410",153309141,100
"411",153309142,95
"412",153309143,15
"413",153309144,60
"414",153309145,20
"415",153309146,110
"416",153309149,270
"417",153309150,100
"418",153309151,75
"419",153309152,70
