"","edgeuid","hour","total_trips"
"1",153742442,10,15
"2",153742442,11,40
"3",153742442,12,65
"4",153742442,13,55
"5",153742442,14,25
"6",153742442,15,40
"7",153742442,16,5
"8",153742442,17,15
"9",153742442,18,5
"10",153742442,19,5
"11",153742442,20,5
"12",153742442,NA,80
"13",153742456,10,5
"14",153742456,12,10
"15",153742465,10,15
"16",153742465,11,45
"17",153742465,12,60
"18",153742465,13,50
"19",153742465,14,25
"20",153742465,15,40
"21",153742465,16,5
"22",153742465,17,10
"23",153742465,18,5
"24",153742465,19,5
"25",153742465,20,5
"26",153742465,NA,80
"27",153742466,10,10
"28",153742466,11,55
"29",153742466,12,60
"30",153742466,13,45
"31",153742466,14,20
"32",153742466,15,30
"33",153742466,16,15
"34",153742466,17,10
"35",153742466,18,10
"36",153742466,19,5
"37",153742466,20,5
"38",153742466,NA,55
"39",153742467,10,10
"40",153742467,11,55
"41",153742467,12,60
"42",153742467,13,45
"43",153742467,14,20
"44",153742467,15,30
"45",153742467,16,15
"46",153742467,17,10
"47",153742467,18,10
"48",153742467,19,5
"49",153742467,20,5
"50",153742467,NA,55
"51",153742471,14,5
"52",153742471,NA,5
"53",153742472,14,5
"54",153742472,NA,5
"55",153742492,11,5
"56",153742492,13,5
"57",153742492,15,10
"58",153742492,NA,5
"59",153742493,11,5
"60",153742494,14,10
"61",153742494,15,5
"62",153742494,NA,5
"63",153742495,14,5
"64",153742495,NA,5
"65",153742496,14,10
"66",153742496,15,5
"67",153742496,17,10
"68",153742496,18,5
"69",153742496,19,5
"70",153742497,14,10
"71",153742497,15,5
"72",153742497,18,10
"73",153742498,11,5
"74",153742498,13,5
"75",153742498,14,10
"76",153742498,15,5
"77",153742498,NA,10
"78",153742499,11,5
"79",153742499,13,5
"80",153742499,15,10
"81",153742499,NA,10
"82",153742502,11,10
"83",153742502,17,5
"84",153742502,NA,5
"85",153742503,11,15
"86",153742503,14,15
"87",153742503,15,5
"88",153742503,19,5
"89",153742503,NA,5
"90",153742504,14,5
"91",153742504,16,5
"92",153742505,15,5
"93",153742505,16,10
"94",153742505,18,5
"95",153742506,14,5
"96",153742506,16,5
"97",153742512,10,10
"98",153742512,11,55
"99",153742512,12,60
"100",153742512,13,45
"101",153742512,14,20
"102",153742512,15,30
"103",153742512,16,15
"104",153742512,17,10
"105",153742512,18,10
"106",153742512,19,5
"107",153742512,20,5
"108",153742512,NA,55
"109",153742514,10,10
"110",153742514,11,40
"111",153742514,12,55
"112",153742514,13,40
"113",153742514,14,25
"114",153742514,15,30
"115",153742514,16,15
"116",153742514,17,10
"117",153742514,18,10
"118",153742514,19,5
"119",153742514,20,5
"120",153742514,NA,65
"121",153742515,14,5
"122",153742515,16,5
"123",153742518,11,15
"124",153742518,15,5
"125",153742518,NA,5
"126",153742519,10,15
"127",153742519,11,75
"128",153742519,12,70
"129",153742519,13,65
"130",153742519,14,25
"131",153742519,15,40
"132",153742519,16,20
"133",153742519,17,10
"134",153742519,18,10
"135",153742519,19,15
"136",153742519,NA,90
"137",153742520,11,5
"138",153742520,12,10
"139",153742520,15,5
"140",153742520,16,10
"141",153742521,10,15
"142",153742521,11,75
"143",153742521,12,60
"144",153742521,13,65
"145",153742521,14,25
"146",153742521,15,40
"147",153742521,16,20
"148",153742521,17,10
"149",153742521,18,10
"150",153742521,19,10
"151",153742521,20,5
"152",153742521,NA,90
"153",153742524,10,15
"154",153742524,11,80
"155",153742524,12,65
"156",153742524,13,60
"157",153742524,14,25
"158",153742524,15,40
"159",153742524,16,20
"160",153742524,17,10
"161",153742524,18,10
"162",153742524,19,10
"163",153742524,20,5
"164",153742524,NA,90
"165",153745541,8,10
"166",153745541,10,15
"167",153745541,11,15
"168",153745541,12,10
"169",153745541,13,15
"170",153745541,14,15
"171",153745541,15,5
"172",153745541,16,10
"173",153745541,17,15
"174",153745541,18,10
"175",153745541,NA,15
"176",153745548,18,5
"177",153745549,10,5
"178",153745549,11,5
"179",153745549,14,15
"180",153745550,10,5
"181",153745550,11,10
"182",153745550,12,5
"183",153745550,14,15
"184",153745550,NA,5
"185",153745553,6,10
"186",153745553,9,10
"187",153745553,10,25
"188",153745553,11,35
"189",153745553,12,45
"190",153745553,13,35
"191",153745553,14,15
"192",153745553,15,15
"193",153745553,16,5
"194",153745553,17,5
"195",153745553,18,15
"196",153745553,NA,45
"197",153745558,11,5
"198",153745560,10,5
"199",153745560,11,10
"200",153745560,14,15
"201",153745561,10,5
"202",153745561,11,5
"203",153745561,12,5
"204",153745561,14,15
"205",153745561,NA,5
"206",153745563,11,5
"207",153745563,16,5
"208",153745563,18,10
"209",153745565,11,5
"210",153745565,16,5
"211",153745565,18,10
"212",153745569,9,5
"213",153745569,14,5
"214",153745579,14,5
"215",153745582,14,5
"216",153745590,15,5
"217",153745590,16,5
"218",153745591,15,5
"219",153745591,16,5
"220",153745594,15,5
"221",153745594,16,5
"222",153745596,15,5
"223",153745596,16,5
"224",153745599,15,5
"225",153745599,18,5
"226",153745599,19,5
"227",153745600,10,5
"228",153745600,11,10
"229",153745600,15,15
"230",153745600,16,5
"231",153745600,18,10
"232",153745600,19,5
"233",153745600,NA,15
"234",153745601,10,5
"235",153745601,11,5
"236",153745601,15,10
"237",153745601,16,5
"238",153745601,18,5
"239",153745601,NA,10
"240",153745608,10,5
"241",153745608,11,5
"242",153745608,15,5
"243",153745608,18,5
"244",153745608,NA,10
"245",153745609,15,5
"246",153745609,18,10
"247",153745609,19,5
"248",153745609,NA,15
"249",153745612,13,5
"250",153745612,15,5
"251",153745612,18,10
"252",153745612,19,5
"253",153745612,NA,15
"254",153745618,13,5
"255",153745618,15,5
"256",153745618,18,10
"257",153745618,19,5
"258",153745618,NA,15
"259",153745620,11,10
"260",153745620,15,5
"261",153745620,18,5
"262",153745620,NA,10
"263",153745621,18,5
"264",153745621,NA,5
"265",153745623,11,5
"266",153745623,15,5
"267",153745626,11,5
"268",153745626,15,5
"269",153745638,10,5
"270",153745638,15,5
"271",153745638,16,10
"272",153745638,18,15
"273",153745638,19,5
"274",153745639,10,5
"275",153745639,11,5
"276",153745639,15,10
"277",153745639,16,10
"278",153745639,17,5
"279",153745639,18,15
"280",153745639,19,5
"281",153745640,10,5
"282",153745640,11,5
"283",153745640,15,10
"284",153745640,16,10
"285",153745640,17,5
"286",153745640,18,15
"287",153745640,19,5
"288",153745646,11,5
"289",153745647,11,5
"290",153745648,11,10
"291",153745653,11,10
"292",153745654,11,10
"293",153745656,15,5
"294",153745656,16,10
"295",153745658,15,5
"296",153745658,16,10
"297",153745658,NA,5
"298",153745662,16,5
"299",153745663,9,25
"300",153745663,10,10
"301",153745663,11,5
"302",153745663,12,15
"303",153745663,15,15
"304",153745663,17,5
"305",153745663,NA,10
"306",153745665,11,5
"307",153745666,9,5
"308",153745666,NA,5
"309",153745668,9,20
"310",153745668,10,10
"311",153745668,11,5
"312",153745668,12,15
"313",153745668,15,15
"314",153745668,17,5
"315",153745668,NA,10
"316",153745669,9,15
"317",153745669,10,10
"318",153745669,11,5
"319",153745669,12,15
"320",153745669,15,15
"321",153745669,17,5
