"","edgeuid","hour","total_trips"
"1","153742442",11,5
"2","153742442",16,10
"3","153742442",19,5
"4","153742453",14,5
"5","153742465",11,5
"6","153742465",16,10
"7","153742465",19,5
"8","153742466",8,5
"9","153742466",10,25
"10","153742466",11,15
"11","153742466",12,10
"12","153742466",14,5
"13","153742466",15,5
"14","153742466",16,5
"15","153742466",18,5
"16","153742466",19,5
"17","153742467",8,5
"18","153742467",10,30
"19","153742467",11,20
"20","153742467",12,10
"21","153742467",14,5
"22","153742467",15,5
"23","153742467",16,5
"24","153742467",18,10
"25","153742471",8,5
"26","153742471",9,5
"27","153742471",10,5
"28","153742471",12,10
"29","153742471",14,5
"30","153742471",16,5
"31","153742471",18,5
"32","153742472",8,5
"33","153742472",9,10
"34","153742472",10,5
"35","153742472",12,10
"36","153742472",13,10
"37","153742472",14,5
"38","153742472",15,5
"39","153742472",16,30
"40","153742472",17,5
"41","153742472",18,5
"42","153742492",10,20
"43","153742492",11,30
"44","153742492",15,10
"45","153742492",16,10
"46","153742494",8,5
"47","153742494",10,35
"48","153742494",11,20
"49","153742494",12,10
"50","153742494",15,10
"51","153742494",16,5
"52","153742494",18,15
"53","153742495",8,5
"54","153742495",9,5
"55","153742495",10,5
"56","153742495",12,10
"57","153742495",13,5
"58","153742495",16,5
"59","153742495",18,5
"60","153742496",8,10
"61","153742496",9,10
"62","153742496",10,40
"63","153742496",11,15
"64","153742496",12,15
"65","153742496",15,5
"66","153742496",18,5
"67","153742497",8,10
"68","153742497",9,10
"69","153742497",10,40
"70","153742497",11,15
"71","153742497",12,15
"72","153742497",15,5
"73","153742497",18,5
"74","153742498",8,5
"75","153742498",10,30
"76","153742498",11,25
"77","153742498",12,10
"78","153742498",15,5
"79","153742498",16,5
"80","153742498",18,5
"81","153742499",10,20
"82","153742499",11,30
"83","153742499",12,10
"84","153742499",15,10
"85","153742499",16,10
"86","153742502",5,10
"87","153742502",6,30
"88","153742502",9,5
"89","153742502",11,5
"90","153742502",12,10
"91","153742502",13,5
"92","153742503",6,5
"93","153742503",8,10
"94","153742503",9,10
"95","153742503",10,40
"96","153742503",11,20
"97","153742503",12,25
"98","153742503",13,5
"99","153742503",15,10
"100","153742503",18,5
"101","153742504",6,5
"102","153742504",10,40
"103","153742504",11,15
"104","153742504",12,15
"105","153742504",15,5
"106","153742504",18,5
"107","153742505",10,5
"108","153742505",18,10
"109","153742506",10,35
"110","153742506",11,15
"111","153742506",12,15
"112","153742506",15,5
"113","153742506",18,5
"114","153742508",11,10
"115","153742508",12,10
"116","153742508",13,10
"117","153742508",14,10
"118","153742508",15,5
"119","153742508",16,5
"120","153742509",13,5
"121","153742510",8,10
"122","153742510",10,10
"123","153742510",11,15
"124","153742510",12,10
"125","153742510",13,15
"126","153742510",14,10
"127","153742510",15,10
"128","153742510",16,5
"129","153742511",14,5
"130","153742512",8,5
"131","153742512",10,30
"132","153742512",11,15
"133","153742512",12,15
"134","153742512",14,5
"135","153742512",15,5
"136","153742512",16,5
"137","153742512",18,10
"138","153742512",19,5
"139","153742514",5,5
"140","153742514",6,5
"141","153742514",8,5
"142","153742514",9,5
"143","153742514",10,30
"144","153742514",11,20
"145","153742514",12,20
"146","153742514",14,5
"147","153742514",15,5
"148","153742514",16,5
"149","153742514",18,15
"150","153742515",10,35
"151","153742515",11,15
"152","153742515",12,15
"153","153742515",13,5
"154","153742515",15,5
"155","153742515",18,5
"156","153742518",8,10
"157","153742518",9,5
"158","153742518",11,5
"159","153742518",13,5
"160","153742519",8,15
"161","153742519",9,25
"162","153742519",10,40
"163","153742519",11,25
"164","153742519",12,25
"165","153742519",13,10
"166","153742519",14,10
"167","153742519",15,20
"168","153742519",16,20
"169","153742519",17,5
"170","153742519",18,10
"171","153742520",9,15
"172","153742520",10,5
"173","153742520",11,5
"174","153742520",13,10
"175","153742520",14,5
"176","153742520",15,10
"177","153742520",16,15
"178","153742520",17,5
"179","153742520",18,10
"180","153742521",8,15
"181","153742521",9,20
"182","153742521",10,35
"183","153742521",11,15
"184","153742521",12,25
"185","153742521",13,10
"186","153742521",14,20
"187","153742521",15,5
"188","153742521",16,10
"189","153742521",17,5
"190","153742521",18,10
"191","153742523",10,5
"192","153742523",15,5
"193","153742524",8,15
"194","153742524",9,25
"195","153742524",10,45
"196","153742524",11,25
"197","153742524",12,20
"198","153742524",13,15
"199","153742524",14,15
"200","153742524",15,15
"201","153742524",16,15
"202","153742524",17,10
"203","153742524",18,10
"204","153742525",9,5
"205","153742525",10,15
"206","153742525",11,5
"207","153742526",8,5
"208","153742526",9,5
"209","153742526",15,5
"210","153742526",16,5
"211","153742527",9,5
"212","153742527",11,5
"213","153742527",12,10
"214","153742527",13,5
"215","153742527",14,5
"216","153742531",9,5
"217","153742531",12,15
"218","153742531",14,10
"219","153742533",14,5
"220","153742534",11,5
"221","153742534",13,5
"222","153742537",14,10
"223","153742537",18,5
"224","153742538",12,5
"225","153742538",13,5
"226","153742538",14,10
"227","153742538",15,5
"228","153742539",9,5
"229","153742539",12,5
"230","153742539",13,5
"231","153742539",15,10
"232","153742540",9,5
"233","153742540",12,5
"234","153742540",15,10
"235","153742541",9,5
"236","153742541",12,5
"237","153742541",13,5
"238","153742542",9,5
"239","153742543",12,5
"240","153742543",13,5
"241","153742544",12,5
"242","153742544",13,5
"243","153742545",10,5
"244","153742545",11,5
"245","153742545",14,5
"246","153742546",9,5
"247","153742546",12,5
"248","153742546",13,5
"249","153742547",10,5
"250","153742547",11,5
"251","153742547",14,5
"252","153742548",10,5
"253","153742548",11,5
"254","153742548",14,5
"255","153742664",10,5
"256","153742664",11,5
"257","153742664",14,5
"258","153742665",10,5
"259","153742665",11,5
"260","153742665",14,5
"261","153742666",10,5
"262","153742666",11,5
"263","153742666",14,5
"264","153742669",10,5
"265","153742669",11,5
"266","153742669",14,5
"267","153742671",10,5
"268","153742676",8,15
"269","153742676",9,5
"270","153742676",11,10
"271","153742676",12,10
"272","153742676",13,15
"273","153742676",14,10
"274","153742676",17,5
"275","153742676",18,5
"276","153742678",8,10
"277","153742678",9,5
"278","153742678",10,5
"279","153742678",11,15
"280","153742678",12,15
"281","153742678",13,10
"282","153742678",14,10
"283","153742678",15,5
"284","153742678",17,10
"285","153742678",18,5
"286","153742680",13,20
"287","153742680",17,10
"288","153742682",9,10
"289","153742682",10,5
"290","153742682",11,5
"291","153742682",12,15
"292","153742682",13,30
"293","153742684",7,5
"294","153742684",9,10
"295","153742684",10,15
"296","153742684",11,5
"297","153742684",12,15
"298","153742684",13,15
"299","153742684",14,10
"300","153742698",15,5
"301","153742699",6,5
"302","153742699",8,15
"303","153742699",9,5
"304","153742699",10,5
"305","153742699",11,10
"306","153742699",12,5
"307","153742699",13,25
"308","153742699",14,5
"309","153742699",16,5
"310","153742700",7,5
"311","153742700",8,5
"312","153742700",9,30
"313","153742700",10,45
"314","153742700",11,75
"315","153742700",12,65
"316","153742700",13,115
"317","153742700",14,30
"318","153742700",15,15
"319","153742700",16,5
"320","153742700",18,5
"321","153742701",8,5
"322","153742701",9,15
"323","153742701",10,5
"324","153742701",11,5
"325","153742701",13,20
"326","153742701",16,5
"327","153742702",7,5
"328","153742702",8,5
"329","153742702",9,40
"330","153742702",10,40
"331","153742702",11,110
"332","153742702",12,115
"333","153742702",13,140
"334","153742702",14,80
"335","153742702",15,30
"336","153742702",16,10
"337","153742702",18,10
"338","153742703",7,5
"339","153742703",9,20
"340","153742703",10,40
"341","153742703",11,90
"342","153742703",12,95
"343","153742703",13,105
"344","153742703",14,60
"345","153742703",15,25
"346","153742703",16,5
"347","153742703",18,5
"348","153742704",5,5
"349","153742704",6,5
"350","153742704",7,5
"351","153742704",8,20
"352","153742704",9,35
"353","153742704",10,45
"354","153742704",11,110
"355","153742704",12,55
"356","153742704",13,90
"357","153742704",14,70
"358","153742704",15,35
"359","153742704",16,5
"360","153742704",18,5
"361","153742706",11,20
"362","153742706",12,5
"363","153742706",13,5
"364","153742706",14,5
"365","153742706",15,5
"366","153742708",5,5
"367","153742708",6,10
"368","153742708",7,5
"369","153742708",8,25
"370","153742708",9,40
"371","153742708",10,55
"372","153742708",11,175
"373","153742708",12,105
"374","153742708",13,160
"375","153742708",14,90
"376","153742708",15,65
"377","153742708",16,20
"378","153742708",17,5
"379","153742708",19,5
"380","153742709",5,5
"381","153742709",6,15
"382","153742709",7,10
"383","153742709",8,40
"384","153742709",9,75
"385","153742709",10,105
"386","153742709",11,250
"387","153742709",12,235
"388","153742709",13,245
"389","153742709",14,125
"390","153742709",15,115
"391","153742709",16,40
"392","153742709",17,5
"393","153742709",19,15
"394","153742709",21,5
"395","153742711",4,10
"396","153742711",5,10
"397","153742711",6,20
"398","153742711",7,20
"399","153742711",8,60
"400","153742711",9,150
"401","153742711",10,250
"402","153742711",11,335
"403","153742711",12,395
"404","153742711",13,310
"405","153742711",14,205
"406","153742711",15,160
"407","153742711",16,105
"408","153742711",17,20
"409","153742711",18,25
"410","153742711",19,30
"411","153742711",20,5
"412","153742711",21,5
"413","153742714",7,5
"414","153742714",9,5
"415","153742715",4,15
"416","153742715",5,15
"417","153742715",6,10
"418","153742715",7,35
"419","153742715",8,115
"420","153742715",9,245
"421","153742715",10,330
"422","153742715",11,370
"423","153742715",12,300
"424","153742715",13,245
"425","153742715",14,175
"426","153742715",15,145
"427","153742715",16,65
"428","153742715",17,30
"429","153742715",18,40
"430","153742715",19,65
"431","153742715",20,15
"432","153742715",22,5
"433","153742716",4,5
"434","153742716",5,5
"435","153742716",6,10
"436","153742716",7,15
"437","153742716",8,90
"438","153742716",9,170
"439","153742716",10,280
"440","153742716",11,305
"441","153742716",12,280
"442","153742716",13,220
"443","153742716",14,140
"444","153742716",15,155
"445","153742716",16,50
"446","153742716",17,25
"447","153742716",18,25
"448","153742716",19,50
"449","153742716",20,10
"450","153742716",21,5
"451","153745550",9,5
"452","153745550",14,5
"453","153745550",16,5
"454","153745550",17,5
"455","153745550",19,5
"456","153745553",9,5
"457","153745553",12,5
"458","153745553",14,5
"459","153745553",16,5
"460","153745553",17,5
"461","153745559",9,5
"462","153745559",14,5
"463","153745559",16,5
"464","153745559",17,5
"465","153745561",9,5
"466","153745561",12,5
"467","153745561",14,5
"468","153745561",16,5
"469","153745561",17,5
"470","153745561",19,5
"471","153745563",9,5
"472","153745563",12,5
"473","153745563",14,5
"474","153745563",16,5
"475","153745563",17,5
"476","153745565",9,5
"477","153745565",12,5
"478","153745565",14,5
"479","153745565",16,5
"480","153745565",17,5
"481","153745569",14,5
"482","153745569",18,5
"483","153745579",13,5
"484","153745580",9,5
"485","153745580",13,5
"486","153745580",14,5
"487","153745580",16,5
"488","153745580",17,5
"489","153745582",13,5
"490","153745583",9,5
"491","153745583",13,5
"492","153745583",14,5
"493","153745583",16,5
"494","153745583",17,5
"495","153745584",9,5
"496","153745584",13,5
"497","153745584",14,5
"498","153745584",16,5
"499","153745584",17,5
"500","153745590",10,5
"501","153745590",11,5
"502","153745590",14,5
"503","153745590",15,5
"504","153745590",16,10
"505","153745590",17,5
"506","153745591",10,5
"507","153745591",11,5
"508","153745591",14,5
"509","153745591",15,5
"510","153745591",16,10
"511","153745591",17,5
"512","153745594",10,5
"513","153745594",11,5
"514","153745594",14,5
"515","153745594",15,5
"516","153745594",16,10
"517","153745594",17,5
"518","153745596",10,5
"519","153745596",11,5
"520","153745596",14,5
"521","153745596",15,5
"522","153745596",16,10
"523","153745596",17,5
"524","153745599",7,5
"525","153745600",7,5
"526","153745600",10,5
"527","153745600",11,5
"528","153745600",15,10
"529","153745600",16,10
"530","153745601",10,5
"531","153745601",11,5
"532","153745601",15,10
"533","153745601",16,5
"534","153745608",14,5
"535","153745608",17,5
"536","153745609",7,5
"537","153745609",14,5
"538","153745612",7,5
"539","153745612",14,5
"540","153745614",10,5
"541","153745614",11,5
"542","153745614",14,10
"543","153745614",20,5
"544","153745618",7,5
"545","153745618",14,5
"546","153745620",14,5
"547","153745620",17,5
"548","153745621",14,5
"549","153745623",17,5
"550","153745625",10,5
"551","153745625",11,10
"552","153745625",14,10
"553","153745625",20,5
"554","153745626",17,5
"555","153745638",14,5
"556","153745639",10,5
"557","153745639",11,5
"558","153745639",14,5
"559","153745639",15,5
"560","153745639",16,10
"561","153745640",10,5
"562","153745640",11,5
"563","153745640",14,5
"564","153745640",15,5
"565","153745640",16,10
"566","153745648",13,5
"567","153745653",13,15
"568","153745665",13,5
"569","153745666",13,5
"570","153745670",13,5
"571","153745671",13,5
"572","153745673",13,5
"573","153745684",12,5
"574","153745691",10,5
"575","153745691",13,15
"576","153745691",14,5
"577","153745691",16,5
"578","153745691",17,5
"579","153745692",8,5
"580","153745692",9,5
"581","153745692",12,5
"582","153745692",13,15
"583","153745692",14,5
"584","153745692",15,5
"585","153745692",16,10
"586","153745840",12,5
"587","153745841",9,5
"588","153745841",10,5
"589","153745841",12,5
"590","153745841",15,5
"591","153745841",18,5
"592","153745842",9,5
"593","153745842",10,5
"594","153745842",15,5
"595","153745842",18,5
"596","153745845",9,5
"597","153745845",10,5
"598","153745845",15,5
"599","153745845",18,5
"600","153745846",9,5
"601","153745846",10,5
"602","153745846",15,5
"603","153745849",11,10
"604","153745849",12,5
"605","153745849",14,10
"606","153745849",15,10
"607","153745849",17,10
"608","153745851",11,10
"609","153745851",12,5
"610","153745851",13,5
"611","153745851",14,15
"612","153745851",15,10
"613","153745851",17,10
"614","153745852",11,5
"615","153745853",11,10
"616","153745853",12,5
"617","153745853",15,10
"618","153745854",11,15
"619","153745854",12,5
"620","153745854",15,10
"621","153745856",11,5
"622","153745871",11,5
"623","153745871",12,5
"624","153745874",11,5
"625","153745874",12,5
"626","153745875",11,5
"627","153745875",12,5
"628","153745876",10,5
"629","153745876",11,5
"630","153745876",12,5
"631","153745878",10,5
"632","153745878",11,5
"633","153745878",12,5
"634","153745879",12,5
"635","153745880",10,5
"636","153745880",11,5
"637","153745880",12,5
"638","153745883",10,5
"639","153745883",11,5
"640","153745883",12,5
"641","153745885",10,5
"642","153745885",11,5
"643","153745885",12,5
"644","153745886",11,5
"645","153745886",12,5
"646","153745888",11,5
"647","153745888",12,5
"648","153745890",11,10
"649","153745890",12,5
"650","153745943",12,5
"651","153745944",12,5
"652","153745954",10,5
"653","153745954",11,5
"654","153745954",12,5
"655","153745960",11,5
"656","153745960",12,5
"657","153745961",12,5
"658","153746383",12,5
"659","153748625",12,10
"660","153748627",12,10
"661","153748628",9,10
"662","153748628",11,10
"663","153748628",13,5
"664","153748628",14,10
"665","153748628",15,5
"666","153748628",16,20
"667","153748628",17,5
"668","153748628",18,5
"669","153748629",9,10
"670","153748629",11,10
"671","153748629",13,5
"672","153748629",14,10
"673","153748629",15,5
"674","153748629",16,20
"675","153748629",17,5
"676","153748629",18,5
"677","153748630",12,5
"678","153748635",11,5
"679","153748635",20,5
"680","153748636",10,5
"681","153748636",11,5
"682","153748636",14,10
"683","153748636",20,5
"684","153748640",9,10
"685","153748640",10,5
"686","153748640",11,5
"687","153748640",13,5
"688","153748640",14,10
"689","153748640",15,5
"690","153748640",16,20
"691","153748640",17,5
"692","153748640",18,15
"693","153748641",10,5
"694","153748641",11,10
"695","153748641",14,10
"696","153748641",17,5
"697","153748641",18,5
"698","153748641",20,5
"699","153748642",10,5
"700","153748642",11,10
"701","153748642",14,10
"702","153748642",20,5
"703","153748643",17,5
"704","153748643",18,5
"705","153748644",7,5
"706","153748644",19,5
"707","153748648",13,5
"708","153748652",9,10
"709","153748652",10,5
"710","153748652",11,5
"711","153748652",13,5
"712","153748652",14,10
"713","153748652",15,5
"714","153748652",16,20
"715","153748652",17,5
"716","153748652",18,15
"717","153748655",9,10
"718","153748655",10,5
"719","153748655",11,5
"720","153748655",13,5
"721","153748655",14,10
"722","153748655",15,5
"723","153748655",16,20
"724","153748655",17,5
"725","153748655",18,15
"726","153748656",9,10
"727","153748656",10,5
"728","153748656",11,5
"729","153748656",13,5
"730","153748656",14,10
"731","153748656",15,10
"732","153748656",16,20
"733","153748656",17,5
"734","153748656",18,15
"735","153748663",8,5
"736","153748663",9,5
"737","153748663",12,5
"738","153748663",13,15
"739","153748663",14,5
"740","153748663",15,10
"741","153748663",16,10
"742","153748664",8,10
"743","153748664",9,5
"744","153748664",10,5
"745","153748664",12,5
"746","153748664",13,15
"747","153748664",14,10
"748","153748664",15,10
"749","153748664",16,10
"750","153748664",17,5
"751","153748665",8,10
"752","153748665",9,5
"753","153748665",10,5
"754","153748665",12,5
"755","153748665",13,15
"756","153748665",14,10
"757","153748665",15,10
"758","153748665",16,10
"759","153748665",17,5
"760","153748670",8,10
"761","153748670",9,5
"762","153748670",10,5
"763","153748670",12,5
"764","153748670",13,15
"765","153748670",14,10
"766","153748670",15,10
"767","153748670",16,10
"768","153748670",17,5
"769","153748672",13,5
"770","153748673",8,10
"771","153748673",9,5
"772","153748673",12,5
"773","153748673",13,10
"774","153748673",14,10
"775","153748673",15,10
"776","153748673",16,10
"777","153748673",17,5
"778","153748678",10,35
"779","153748678",11,15
"780","153748678",12,15
"781","153748678",13,5
"782","153748678",15,5
"783","153748678",18,5
"784","153748679",9,10
"785","153748679",10,10
"786","153748679",11,5
"787","153748679",13,5
"788","153748679",14,10
"789","153748679",15,10
"790","153748679",16,20
"791","153748679",17,5
"792","153748679",18,15
"793","153748680",10,35
"794","153748680",11,15
"795","153748680",12,15
"796","153748680",13,5
"797","153748680",15,5
"798","153748680",18,5
"799","153748681",10,35
"800","153748681",11,15
"801","153748681",12,15
"802","153748681",15,5
"803","153748681",18,5
"804","153748683",9,15
"805","153748683",10,10
"806","153748683",11,5
"807","153748683",13,5
"808","153748683",14,10
"809","153748683",15,10
"810","153748683",16,15
"811","153748683",17,5
"812","153748683",18,10
"813","153748684",9,15
"814","153748684",10,10
"815","153748684",11,5
"816","153748684",13,5
"817","153748684",14,10
"818","153748684",15,10
"819","153748684",16,15
"820","153748684",17,5
"821","153748684",18,10
"822","153748685",10,40
"823","153748685",11,15
"824","153748685",12,20
"825","153748685",14,10
"826","153748685",18,10
"827","153748686",9,15
"828","153748686",10,10
"829","153748686",11,5
"830","153748686",13,5
"831","153748686",14,10
"832","153748686",15,5
"833","153748686",16,20
"834","153748686",17,5
"835","153748686",18,15
"836","153748689",9,15
"837","153748689",10,10
"838","153748689",11,5
"839","153748689",13,5
"840","153748689",14,10
"841","153748689",15,10
"842","153748689",16,15
"843","153748689",17,5
"844","153748689",18,10
"845","153748692",8,20
"846","153748692",9,25
"847","153748692",10,45
"848","153748692",11,20
"849","153748692",12,10
"850","153748692",13,10
"851","153748692",14,15
"852","153748692",15,10
"853","153748692",16,20
"854","153748692",17,10
"855","153748692",18,10
"856","153748692",20,10
"857","153748694",8,15
"858","153748694",9,20
"859","153748694",10,45
"860","153748694",11,25
"861","153748694",12,10
"862","153748694",13,10
"863","153748694",14,15
"864","153748694",15,10
"865","153748694",16,20
"866","153748694",17,10
"867","153748694",18,10
"868","153748695",8,15
"869","153748695",9,20
"870","153748695",10,45
"871","153748695",11,20
"872","153748695",12,10
"873","153748695",14,10
"874","153748695",15,5
"875","153748695",16,10
"876","153748695",17,10
"877","153748695",18,10
"878","153748695",20,5
"879","153748696",8,15
"880","153748696",9,25
"881","153748696",10,45
"882","153748696",11,25
"883","153748696",12,10
"884","153748696",13,10
"885","153748696",14,15
"886","153748696",15,10
"887","153748696",16,20
"888","153748696",17,10
"889","153748696",18,10
"890","153748698",8,15
"891","153748698",9,20
"892","153748698",10,45
"893","153748698",11,15
"894","153748698",12,10
"895","153748698",13,10
"896","153748698",14,15
"897","153748698",15,10
"898","153748698",16,20
"899","153748698",17,10
"900","153748698",18,10
"901","153748701",8,15
"902","153748701",9,20
"903","153748701",10,40
"904","153748701",11,20
"905","153748701",12,10
"906","153748701",13,10
"907","153748701",14,15
"908","153748701",15,10
"909","153748701",16,20
"910","153748701",17,10
"911","153748701",18,10
"912","153748704",10,40
"913","153748704",11,15
"914","153748704",12,20
"915","153748704",14,10
"916","153748704",18,10
"917","153748705",10,40
"918","153748705",11,15
"919","153748705",12,20
"920","153748705",14,10
"921","153748705",18,10
"922","153748706",10,40
"923","153748706",11,20
"924","153748706",12,15
"925","153748706",14,10
"926","153748706",18,10
"927","153748709",8,10
"928","153748709",9,20
"929","153748709",10,40
"930","153748709",11,20
"931","153748709",12,10
"932","153748709",13,10
"933","153748709",14,15
"934","153748709",15,10
"935","153748709",16,20
"936","153748709",17,10
"937","153748709",18,10
"938","153748710",15,15
"939","153748712",15,10
"940","153748713",15,15
"941","153748720",10,40
"942","153748720",11,20
"943","153748720",12,10
"944","153748720",14,10
"945","153748720",18,10
"946","153748721",8,10
"947","153748721",9,20
"948","153748721",10,35
"949","153748721",11,20
"950","153748721",12,10
"951","153748721",13,5
"952","153748721",14,5
"953","153748721",15,10
"954","153748721",16,20
"955","153748721",17,10
"956","153748721",18,5
"957","153748722",8,10
"958","153748722",9,20
"959","153748722",10,35
"960","153748722",11,20
"961","153748722",12,10
"962","153748722",13,5
"963","153748722",14,5
"964","153748722",15,10
"965","153748722",16,20
"966","153748722",17,10
"967","153748722",18,5
"968","153748725",10,35
"969","153748725",11,25
"970","153748725",12,10
"971","153748725",13,5
"972","153748725",14,5
"973","153748725",18,10
"974","153748735",7,10
"975","153748735",8,10
"976","153748735",9,5
"977","153748735",12,5
"978","153748735",13,5
"979","153748735",15,5
"980","153748737",7,10
"981","153748737",8,10
"982","153748737",9,5
"983","153748737",12,5
"984","153748737",13,5
"985","153748737",15,5
"986","153748740",7,5
"987","153748740",13,5
"988","153748740",14,5
"989","153748740",15,5
"990","153748740",16,5
"991","153748742",8,5
"992","153748742",9,5
"993","153748742",10,5
"994","153748742",12,5
"995","153748742",13,10
"996","153748742",14,10
"997","153748742",15,15
"998","153748742",16,10
"999","153748743",8,10
"1000","153748743",9,5
"1001","153748743",10,5
"1002","153748743",12,5
"1003","153748743",13,10
"1004","153748743",14,10
"1005","153748743",15,15
"1006","153748743",16,10
"1007","153748743",17,15
"1008","153748744",17,5
"1009","153748745",15,10
"1010","153748745",17,5
"1011","153748745",18,10
"1012","153748746",13,5
"1013","153748746",15,10
"1014","153748746",18,10
"1015","153748753",9,5
"1016","153748753",15,10
"1017","153748753",17,5
"1018","153748753",18,5
"1019","153748754",9,5
"1020","153748755",15,10
"1021","153748755",17,5
"1022","153748755",18,10
"1023","153748774",9,5
"1024","153748774",15,10
"1025","153748774",17,5
"1026","153748774",18,5
"1027","153748775",8,10
"1028","153748775",9,5
"1029","153748775",10,5
"1030","153748775",13,10
"1031","153748775",14,5
"1032","153748775",15,15
"1033","153748775",16,5
"1034","153748775",17,15
"1035","153748776",8,10
"1036","153748776",9,5
"1037","153748776",10,5
"1038","153748776",12,5
"1039","153748776",13,10
"1040","153748776",14,10
"1041","153748776",15,15
"1042","153748776",16,10
"1043","153748776",17,15
"1044","153748778",8,10
"1045","153748778",10,5
"1046","153748778",12,5
"1047","153748778",13,5
"1048","153748778",14,5
"1049","153748778",15,10
"1050","153748778",16,10
"1051","153748778",17,10
"1052","153748780",8,5
"1053","153748780",17,10
"1054","153748785",7,5
"1055","153748785",8,5
"1056","153748785",9,5
"1057","153748785",11,5
"1058","153748785",12,5
"1059","153748785",16,5
"1060","153748785",17,10
"1061","153748785",18,15
"1062","153748785",19,5
"1063","153748795",9,5
"1064","153748795",12,5
"1065","153748795",15,5
"1066","153748795",19,5
"1067","153748796",7,5
"1068","153748796",9,5
"1069","153748796",12,5
"1070","153748796",16,5
"1071","153748796",17,10
"1072","153748796",18,10
"1073","153748796",19,5
"1074","153748800",8,5
"1075","153748800",17,10
"1076","153748801",7,5
"1077","153748801",9,5
"1078","153748801",12,5
"1079","153748801",16,5
"1080","153748801",17,10
"1081","153748801",18,10
"1082","153748801",19,5
"1083","153748816",19,5
"1084","153748817",9,5
"1085","153748817",19,5
"1086","153748818",19,5
"1087","153748819",9,5
"1088","153748820",9,5
"1089","153748820",12,5
"1090","153748820",19,5
"1091","153748832",9,5
"1092","153748832",19,5
"1093","153748833",9,5
"1094","153748833",12,10
"1095","153748833",19,5
"1096","153748834",9,5
"1097","153748834",19,5
"1098","153748835",9,5
"1099","153748835",12,5
"1100","153748835",19,5
"1101","153748837",9,5
"1102","153748837",10,5
"1103","153748837",12,5
"1104","153748837",13,10
"1105","153748837",14,5
"1106","153748837",15,15
"1107","153748837",16,10
"1108","153748837",17,5
"1109","153748838",9,5
"1110","153748838",10,5
"1111","153748838",12,5
"1112","153748838",13,10
"1113","153748838",14,5
"1114","153748838",15,15
"1115","153748838",16,10
"1116","153748838",17,5
"1117","153748839",9,10
"1118","153748839",11,5
"1119","153748839",12,5
"1120","153748839",15,5
"1121","153748839",16,5
"1122","153748839",17,10
"1123","153748839",19,5
"1124","153748840",7,5
"1125","153748840",8,5
"1126","153748840",9,5
"1127","153748840",11,5
"1128","153748840",12,5
"1129","153748840",16,5
"1130","153748840",17,10
"1131","153748840",18,15
"1132","153748840",19,5
"1133","153748842",8,5
"1134","153748842",9,15
"1135","153748842",10,5
"1136","153748842",11,15
"1137","153748842",12,10
"1138","153748842",13,10
"1139","153748842",14,5
"1140","153748842",15,20
"1141","153748842",16,15
"1142","153748842",17,20
"1143","153748842",19,5
"1144","153748843",8,5
"1145","153748843",9,15
"1146","153748843",10,5
"1147","153748843",11,10
"1148","153748843",12,10
"1149","153748843",13,10
"1150","153748843",14,5
"1151","153748843",15,20
"1152","153748843",16,15
"1153","153748843",17,15
"1154","153748843",19,5
"1155","153748851",8,15
"1156","153748851",9,15
"1157","153748851",10,5
"1158","153748851",11,10
"1159","153748851",12,10
"1160","153748851",13,10
"1161","153748851",14,5
"1162","153748851",15,20
"1163","153748851",16,15
"1164","153748851",17,15
"1165","153748851",19,5
"1166","153748853",8,15
"1167","153748853",9,15
"1168","153748853",10,10
"1169","153748853",11,15
"1170","153748853",12,10
"1171","153748853",13,10
"1172","153748853",14,5
"1173","153748853",15,15
"1174","153748853",16,10
"1175","153748853",17,10
"1176","153748853",18,5
"1177","153748853",19,5
"1178","153748904",11,5
"1179","153748904",12,10
"1180","153748906",11,5
"1181","153748906",12,10
"1182","153748907",11,5
