"","edgeuid","month","total_trips"
"1",153101208,"June",5
"2",153101210,"June",5
"3",153101214,"June",5
"4",153101215,"June",5
"5",153101217,"June",5
"6",153307224,"September",5
"7",153307229,"September",10
"8",153308590,"June",10
"9",153308612,"June",5
"10",153308615,"June",5
"11",153308616,"June",5
"12",153308620,"June",5
"13",153308626,"June",5
"14",153308633,"June",5
"15",153308633,"September",5
"16",153308641,"June",5
"17",153308642,"June",5
"18",153308653,"June",5
"19",153308655,"June",5
"20",153308657,"June",5
"21",153308658,"June",5
"22",153308669,"June",5
"23",153308671,"June",5
"24",153308672,"June",5
"25",153308673,"June",5
"26",153308674,"June",5
"27",153308675,"June",5
"28",153308676,"June",5
"29",153308677,"June",5
"30",153308677,"September",25
"31",153308682,"June",5
"32",153308683,"June",5
"33",153308683,"September",30
"34",153308685,"June",5
"35",153308702,"June",5
"36",153308703,"June",5
"37",153308929,"June",5
"38",153308962,"June",5
"39",153308967,"June",5
"40",153308989,"June",5
"41",153308991,"June",5
"42",153308992,"June",5
"43",153308993,"September",5
"44",153309120,"September",10
"45",153309185,"June",5
"46",153309204,"June",5
"47",153309205,"June",5
"48",153309206,"June",5
"49",153309208,"June",5
"50",153309209,"June",5
"51",153309209,"September",15
"52",153309210,"June",5
"53",153309210,"September",5
"54",153309213,"June",5
"55",153309214,"June",5
"56",153309216,"June",5
"57",153309217,"June",5
"58",153309221,"June",5
"59",153309225,"June",5
"60",153309225,"September",15
"61",153309227,"June",5
"62",153309228,"September",10
"63",153309238,"September",10
"64",153309254,"June",5
"65",153309259,"June",15
"66",153309260,"June",10
"67",153309263,"June",15
"68",153309265,"June",10
"69",153309270,"June",10
"70",153309273,"June",10
"71",153309274,"June",10
"72",153309278,"June",10
"73",153309279,"June",10
"74",153309281,"June",10
"75",153309282,"June",10
"76",153309302,"June",10
"77",153309306,"June",10
"78",153309307,"June",10
"79",153309308,"June",10
"80",153309313,"June",10
"81",153309313,"September",25
"82",153309315,"June",10
"83",153309316,"June",10
"84",153309316,"September",25
"85",153309321,"June",10
"86",153309322,"June",10
"87",153309322,"September",25
"88",153309325,"June",10
"89",153309328,"June",10
"90",153309330,"June",10
"91",153309330,"September",25
"92",153309331,"June",10
"93",153309334,"June",10
"94",153309336,"June",10
"95",153309337,"June",10
"96",153309341,"June",10
"97",153309370,"June",10
"98",153309371,"June",10
"99",153309373,"June",10
"100",153309374,"June",10
"101",153309385,"June",10
"102",153309392,"June",10
"103",153309394,"June",10
"104",153309394,"September",35
"105",153309395,"June",10
"106",153309395,"September",40
"107",153309398,"June",10
"108",153309400,"September",10
"109",153309442,"June",15
"110",153309442,"September",30
"111",153309443,"June",15
"112",153309466,"June",15
"113",153309467,"June",15
"114",153309468,"June",20
"115",153309469,"June",15
"116",153309471,"June",10
"117",153309472,"June",10
"118",153309473,"June",15
"119",153309479,"June",15
"120",153309484,"June",15
"121",153309486,"June",15
"122",153309487,"June",15
"123",153309488,"June",15
"124",153309498,"June",10
"125",153309499,"June",10
"126",153309500,"June",5
"127",153309501,"June",5
"128",153309502,"June",5
"129",153309505,"June",5
"130",153309507,"June",10
"131",153309508,"June",5
"132",153309510,"June",5
"133",153309512,"June",5
"134",153309513,"June",5
"135",153309559,"September",5
"136",153309563,"June",10
"137",153309565,"June",10
"138",153309566,"June",10
"139",153309567,"June",10
"140",153309570,"June",10
"141",153309571,"June",10
"142",153309572,"June",10
"143",153309573,"June",10
"144",153309577,"June",10
"145",153309607,"June",95
"146",153309608,"June",10
"147",153309609,"June",10
"148",153309611,"June",10
"149",153309620,"June",5
"150",153309621,"June",5
"151",153309622,"June",5
"152",153309624,"June",5
"153",153309632,"June",10
"154",153309640,"June",5
"155",153309653,"June",5
"156",153309748,"September",10
"157",153309750,"September",10
"158",153309752,"June",5
"159",153309755,"June",110
"160",153309758,"June",10
"161",153309760,"June",10
"162",153309771,"June",10
"163",153309771,"September",15
"164",153309773,"June",25
"165",153309773,"September",15
"166",153309776,"June",25
"167",153309776,"September",15
"168",153309778,"June",10
"169",153309893,"June",115
"170",153309923,"June",15
"171",153310006,"September",5
"172",153310055,"June",115
"173",153310056,"June",115
"174",153310062,"June",10
"175",153310063,"June",10
"176",153310064,"June",10
"177",153310067,"June",10
"178",153310068,"June",5
"179",153310068,"September",25
"180",153310072,"June",10
"181",153310079,"June",15
"182",153310081,"June",15
"183",153310082,"June",15
"184",153310097,"June",15
"185",153310216,"June",25
"186",153310217,"June",5
"187",153310218,"June",20
"188",153310219,"June",5
"189",153310220,"June",5
"190",153310221,"June",5
"191",153310224,"June",90
"192",153310226,"June",95
"193",153310228,"June",10
"194",153310235,"September",10
"195",153310247,"September",5
"196",153310311,"June",15
"197",153310312,"June",25
"198",153310312,"September",10
"199",153310313,"June",25
"200",153310319,"June",130
"201",153310320,"June",125
"202",153310389,"June",25
"203",153310390,"June",25
"204",153310393,"June",25
"205",153310396,"June",35
"206",153310398,"June",25
"207",153310399,"June",40
"208",153310400,"June",30
"209",153310401,"June",25
"210",153310405,"June",35
"211",153310406,"June",30
"212",153310425,"June",5
"213",153310426,"June",5
"214",153310490,"June",5
"215",153310491,"June",5
"216",153310520,"June",5
"217",153310529,"September",10
"218",153310539,"June",5
"219",153310543,"September",5
"220",153310550,"June",120
"221",153310558,"June",110
"222",153310567,"June",5
"223",153310573,"June",10
"224",153310590,"June",10
"225",153310671,"June",15
"226",153310673,"June",15
"227",153310674,"June",15
"228",153310702,"June",15
"229",153310708,"June",20
"230",153310715,"June",20
"231",153310716,"June",20
"232",153310717,"June",20
"233",153310719,"June",15
"234",153310725,"June",20
"235",153310788,"June",5
"236",153310789,"June",5
"237",153310790,"June",5
"238",153310791,"June",5
"239",153310802,"June",20
"240",153310865,"June",10
"241",153310866,"June",10
"242",153310868,"September",5
"243",153310870,"June",10
"244",153310872,"June",10
