"","edgeuid","month","total_trips"
"1","153742442","September",10
"2","153742442","October",5
"3","153742442","November",5
"4","153742453","June",5
"5","153742465","September",10
"6","153742465","October",5
"7","153742465","November",5
"8","153742466","January",10
"9","153742466","February",15
"10","153742466","March",5
"11","153742466","April",15
"12","153742466","June",5
"13","153742466","September",5
"14","153742466","November",25
"15","153742467","January",10
"16","153742467","February",15
"17","153742467","March",5
"18","153742467","April",15
"19","153742467","May",5
"20","153742467","June",5
"21","153742467","September",5
"22","153742467","November",25
"23","153742467","December",5
"24","153742471","February",5
"25","153742471","March",5
"26","153742471","May",5
"27","153742471","September",5
"28","153742471","October",5
"29","153742471","November",5
"30","153742471","December",10
"31","153742472","January",10
"32","153742472","February",10
"33","153742472","March",5
"34","153742472","April",20
"35","153742472","May",10
"36","153742472","June",5
"37","153742472","September",5
"38","153742472","October",10
"39","153742472","November",5
"40","153742472","December",10
"41","153742492","March",10
"42","153742492","September",10
"43","153742492","October",10
"44","153742492","November",30
"45","153742492","December",10
"46","153742494","January",10
"47","153742494","February",15
"48","153742494","March",5
"49","153742494","April",10
"50","153742494","May",5
"51","153742494","June",5
"52","153742494","September",10
"53","153742494","October",10
"54","153742494","November",25
"55","153742494","December",5
"56","153742495","February",5
"57","153742495","March",5
"58","153742495","May",5
"59","153742495","September",5
"60","153742495","October",10
"61","153742495","November",5
"62","153742495","December",5
"63","153742496","January",10
"64","153742496","February",10
"65","153742496","March",10
"66","153742496","April",10
"67","153742496","May",10
"68","153742496","June",5
"69","153742496","September",5
"70","153742496","November",25
"71","153742496","December",15
"72","153742497","January",10
"73","153742497","February",10
"74","153742497","March",10
"75","153742497","April",10
"76","153742497","May",10
"77","153742497","June",5
"78","153742497","September",5
"79","153742497","November",25
"80","153742497","December",15
"81","153742498","January",10
"82","153742498","February",15
"83","153742498","March",5
"84","153742498","April",10
"85","153742498","May",5
"86","153742498","June",5
"87","153742498","September",5
"88","153742498","October",5
"89","153742498","November",20
"90","153742498","December",5
"91","153742499","March",10
"92","153742499","September",10
"93","153742499","October",10
"94","153742499","November",40
"95","153742499","December",10
"96","153742502","January",5
"97","153742502","March",35
"98","153742502","April",10
"99","153742502","May",10
"100","153742502","December",5
"101","153742503","January",10
"102","153742503","February",10
"103","153742503","March",25
"104","153742503","April",15
"105","153742503","May",15
"106","153742503","June",5
"107","153742503","September",5
"108","153742503","November",25
"109","153742503","December",20
"110","153742504","January",10
"111","153742504","February",5
"112","153742504","March",5
"113","153742504","April",15
"114","153742504","May",5
"115","153742504","June",5
"116","153742504","September",5
"117","153742504","November",25
"118","153742504","December",10
"119","153742505","March",5
"120","153742505","May",5
"121","153742505","September",5
"122","153742506","January",10
"123","153742506","February",5
"124","153742506","April",10
"125","153742506","May",10
"126","153742506","June",5
"127","153742506","November",25
"128","153742506","December",10
"129","153742508","May",10
"130","153742508","September",10
"131","153742508","October",20
"132","153742508","November",5
"133","153742508","December",5
"134","153742509","June",5
"135","153742510","May",20
"136","153742510","June",10
