"","edgeuid","total_trips"
"1",153101208,5
"2",153101210,5
"3",153101214,5
"4",153101215,5
"5",153101217,5
"6",153307224,5
"7",153307229,10
"8",153308590,10
"9",153308612,5
"10",153308615,5
"11",153308616,5
"12",153308620,5
"13",153308626,5
"14",153308633,10
"15",153308641,5
"16",153308642,5
"17",153308653,5
"18",153308655,5
"19",153308657,5
"20",153308658,5
"21",153308669,5
"22",153308671,5
"23",153308672,5
"24",153308673,5
"25",153308674,5
"26",153308675,5
"27",153308676,5
"28",153308677,30
"29",153308682,5
"30",153308683,35
"31",153308685,5
"32",153308702,5
"33",153308703,5
"34",153308929,5
"35",153308962,5
"36",153308967,5
"37",153308989,5
"38",153308991,5
"39",153308992,5
"40",153308993,5
"41",153309120,10
"42",153309185,5
"43",153309204,5
"44",153309205,5
"45",153309206,5
"46",153309208,5
"47",153309209,20
"48",153309210,10
"49",153309213,5
"50",153309214,5
"51",153309216,5
"52",153309217,5
"53",153309221,5
"54",153309225,20
"55",153309227,5
"56",153309228,10
"57",153309238,10
"58",153309254,5
"59",153309259,15
"60",153309260,10
"61",153309263,15
"62",153309265,10
"63",153309270,10
"64",153309273,10
"65",153309274,10
"66",153309278,10
"67",153309279,10
"68",153309281,10
"69",153309282,10
"70",153309302,10
"71",153309306,10
"72",153309307,10
"73",153309308,10
"74",153309313,35
"75",153309315,10
"76",153309316,35
"77",153309321,10
"78",153309322,35
"79",153309325,10
"80",153309328,10
"81",153309330,35
"82",153309331,10
"83",153309334,10
"84",153309336,10
"85",153309337,10
"86",153309341,10
"87",153309370,10
"88",153309371,10
"89",153309373,10
"90",153309374,10
"91",153309385,10
"92",153309392,10
"93",153309394,45
"94",153309395,50
"95",153309398,10
"96",153309400,10
"97",153309442,45
"98",153309443,15
"99",153309466,15
"100",153309467,15
"101",153309468,20
"102",153309469,15
"103",153309471,10
"104",153309472,10
"105",153309473,15
"106",153309479,15
"107",153309484,15
"108",153309486,15
"109",153309487,15
"110",153309488,15
"111",153309498,10
"112",153309499,10
"113",153309500,5
"114",153309501,5
"115",153309502,5
"116",153309505,5
"117",153309507,10
"118",153309508,5
"119",153309510,5
"120",153309512,5
"121",153309513,5
"122",153309559,5
"123",153309563,10
"124",153309565,10
"125",153309566,10
"126",153309567,10
"127",153309570,10
"128",153309571,10
"129",153309572,10
"130",153309573,10
"131",153309577,10
"132",153309607,95
"133",153309608,10
"134",153309609,10
"135",153309611,10
"136",153309620,5
"137",153309621,5
"138",153309622,5
"139",153309624,5
"140",153309632,10
"141",153309640,5
"142",153309653,5
"143",153309748,10
"144",153309750,10
"145",153309752,5
"146",153309755,110
"147",153309758,10
"148",153309760,10
"149",153309771,25
"150",153309773,40
"151",153309776,40
"152",153309778,10
"153",153309893,115
"154",153309923,15
"155",153310006,5
"156",153310055,115
"157",153310056,115
"158",153310062,10
"159",153310063,10
"160",153310064,10
"161",153310067,10
"162",153310068,30
"163",153310072,10
"164",153310079,15
"165",153310081,15
"166",153310082,15
"167",153310097,15
"168",153310216,25
"169",153310217,5
"170",153310218,20
"171",153310219,5
"172",153310220,5
"173",153310221,5
"174",153310224,90
"175",153310226,95
"176",153310228,10
"177",153310235,10
"178",153310247,5
"179",153310311,15
"180",153310312,35
"181",153310313,25
"182",153310319,130
"183",153310320,125
"184",153310389,25
"185",153310390,25
"186",153310393,25
"187",153310396,35
"188",153310398,25
"189",153310399,40
"190",153310400,30
"191",153310401,25
"192",153310405,35
"193",153310406,30
"194",153310425,5
"195",153310426,5
"196",153310490,5
"197",153310491,5
"198",153310520,5
"199",153310529,10
"200",153310539,5
"201",153310543,5
"202",153310550,120
"203",153310558,110
"204",153310567,5
"205",153310573,10
"206",153310590,10
"207",153310671,15
"208",153310673,15
"209",153310674,15
"210",153310702,15
"211",153310708,20
"212",153310715,20
"213",153310716,20
"214",153310717,20
"215",153310719,15
"216",153310725,20
"217",153310788,5
"218",153310789,5
"219",153310790,5
"220",153310791,5
"221",153310802,20
"222",153310865,10
"223",153310866,10
"224",153310868,5
"225",153310870,10
