"","edgeuid","total_trips"
"1",153742442,355
"2",153742456,15
"3",153742465,345
"4",153742466,320
"5",153742467,320
"6",153742471,10
"7",153742472,10
"8",153742492,25
"9",153742493,5
"10",153742494,20
"11",153742495,10
"12",153742496,35
"13",153742497,25
"14",153742498,35
"15",153742499,30
"16",153742502,20
"17",153742503,45
"18",153742504,10
"19",153742505,20
"20",153742506,10
"21",153742512,320
"22",153742514,310
"23",153742515,10
"24",153742518,25
"25",153742519,435
"26",153742520,30
"27",153742521,425
"28",153742524,430
"29",153745541,135
"30",153745548,5
"31",153745549,25
"32",153745550,40
"33",153745553,260
"34",153745558,5
"35",153745560,30
"36",153745561,35
"37",153745563,20
"38",153745565,20
"39",153745569,10
"40",153745579,5
"41",153745582,5
"42",153745590,10
"43",153745591,10
"44",153745594,10
"45",153745596,10
"46",153745599,15
"47",153745600,65
"48",153745601,40
"49",153745608,30
"50",153745609,35
"51",153745612,40
"52",153745618,40
"53",153745620,30
"54",153745621,10
"55",153745623,10
"56",153745626,10
"57",153745638,40
"58",153745639,55
"59",153745640,55
"60",153745646,5
"61",153745647,5
"62",153745648,10
"63",153745653,10
"64",153745654,10
"65",153745656,15
"66",153745658,20
"67",153745662,5
"68",153745663,85
"69",153745665,5
"70",153745666,10
"71",153745668,80
"72",153745669,70
"73",153745670,55
"74",153745671,40
"75",153745673,5
"76",153745677,5
"77",153745679,200
"78",153745683,245
"79",153745684,20
"80",153745686,20
"81",153745688,275
"82",153745692,5
"83",153745836,10
"84",153745840,20
"85",153745841,25
"86",153745842,5
"87",153745844,270
"88",153745845,5
"89",153745846,5
"90",153745849,5
"91",153745850,65
"92",153745851,5
"93",153745853,5
"94",153745854,5
"95",153745861,240
"96",153745862,260
"97",153745871,5
"98",153745874,5
"99",153745875,5
"100",153745876,5
"101",153745878,5
"102",153745880,5
"103",153745883,5
"104",153745885,5
"105",153745911,20
"106",153745937,5
"107",153745954,5
"108",153746322,25
"109",153746383,5
"110",153748628,45
"111",153748629,45
"112",153748640,50
"113",153748641,10
"114",153748643,10
"115",153748644,60
"116",153748646,80
"117",153748648,65
"118",153748652,30
"119",153748655,20
"120",153748656,25
"121",153748657,10
"122",153748663,5
"123",153748664,5
"124",153748665,5
"125",153748668,20
"126",153748670,5
"127",153748672,5
"128",153748673,5
"129",153748678,10
"130",153748679,25
"131",153748680,10
"132",153748681,5
"133",153748682,5
"134",153748683,30
"135",153748684,25
"136",153748685,5
"137",153748686,30
"138",153748689,20
"139",153748692,450
"140",153748694,450
"141",153748695,375
"142",153748696,450
"143",153748698,445
"144",153748701,440
"145",153748704,5
"146",153748705,5
"147",153748706,5
"148",153748709,430
"149",153748711,5
"150",153748720,5
"151",153748721,415
"152",153748722,415
"153",153748725,5
"154",153748735,10
"155",153748737,10
"156",153748740,25
"157",153748743,5
"158",153748751,20
"159",153748757,20
"160",153748758,10
"161",153748769,20
"162",153748775,5
"163",153748776,5
"164",153748778,5
"165",153748785,50
"166",153748787,10
"167",153748788,15
"168",153748795,85
"169",153748796,50
"170",153748801,40
"171",153748805,10
"172",153748806,5
"173",153748808,5
"174",153748816,5
"175",153748825,35
"176",153748832,5
"177",153748833,5
"178",153748834,5
"179",153748835,5
"180",153748837,5
"181",153748838,5
"182",153748839,45
"183",153748840,50
"184",153748841,5
"185",153748842,60
