"","edgeuid","total_trips"
"1","153742442",20
"2","153742453",5
"3","153742465",20
"4","153742466",80
"5","153742467",90
"6","153742471",40
"7","153742472",90
"8","153742492",70
"9","153742494",100
"10","153742495",40
"11","153742496",100
"12","153742497",100
"13","153742498",85
"14","153742499",80
"15","153742502",65
"16","153742503",130
"17","153742504",85
"18","153742505",15
"19","153742506",75
"20","153742508",50
"21","153742509",5
"22","153742510",85
"23","153742511",5
"24","153742512",95
"25","153742514",120
"26","153742515",80
"27","153742518",25
"28","153742519",205
"29","153742520",80
"30","153742521",170
"31","153742523",10
"32","153742524",210
"33","153742525",25
"34","153742526",20
"35","153742527",30
"36","153742531",30
"37","153742533",5
"38","153742534",10
"39","153742537",15
"40","153742538",25
"41","153742539",25
"42","153742540",20
"43","153742541",15
"44","153742542",5
"45","153742543",10
"46","153742544",10
"47","153742545",15
"48","153742546",15
"49","153742547",15
"50","153742548",15
"51","153742664",15
"52","153742665",15
"53","153742666",15
"54","153742669",15
"55","153742671",5
"56","153742676",75
"57","153742678",90
"58","153742680",30
"59","153742682",65
"60","153742684",75
"61","153742698",5
"62","153742699",80
"63","153742700",395
"64","153742701",55
"65","153742702",585
"66","153742703",450
"67","153742704",485
"68","153742706",40
"69","153742708",765
"70","153742709",1285
"71","153742711",2115
"72","153742714",10
"73","153742715",2220
"74","153742716",1840
"75","153745550",25
"76","153745553",25
"77","153745559",20
"78","153745561",30
"79","153745563",25
"80","153745565",25
"81","153745569",10
"82","153745579",5
"83","153745580",25
"84","153745582",5
"85","153745583",25
"86","153745584",25
"87","153745590",35
"88","153745591",35
"89","153745594",35
"90","153745596",35
"91","153745599",5
"92","153745600",35
"93","153745601",25
"94","153745608",10
"95","153745609",10
"96","153745612",10
"97","153745614",25
"98","153745618",10
"99","153745620",10
"100","153745621",5
"101","153745623",5
"102","153745625",30
"103","153745626",5
"104","153745638",5
"105","153745639",30
"106","153745640",30
"107","153745648",5
"108","153745653",15
"109","153745665",5
"110","153745666",5
"111","153745670",5
"112","153745671",5
"113","153745673",5
"114","153745684",5
"115","153745691",35
"116","153745692",50
"117","153745840",5
"118","153745841",25
"119","153745842",20
"120","153745845",20
"121","153745846",15
"122","153745849",45
"123","153745851",55
"124","153745852",5
"125","153745853",25
"126","153745854",30
"127","153745856",5
"128","153745871",10
"129","153745874",10
"130","153745875",10
"131","153745876",15
"132","153745878",15
"133","153745879",5
"134","153745880",15
"135","153745883",15
"136","153745885",15
"137","153745886",10
"138","153745888",10
"139","153745890",15
"140","153745943",5
"141","153745944",5
"142","153745954",15
"143","153745960",10
"144","153745961",5
"145","153746383",5
"146","153748625",10
"147","153748627",10
"148","153748628",70
"149","153748629",70
"150","153748630",5
"151","153748635",10
"152","153748636",25
"153","153748640",80
"154","153748641",40
"155","153748642",30
"156","153748643",10
"157","153748644",10
"158","153748648",5
"159","153748652",80
"160","153748655",80
"161","153748656",85
"162","153748663",55
"163","153748664",75
"164","153748665",75
"165","153748670",75
"166","153748672",5
"167","153748673",65
"168","153748678",80
"169","153748679",90
"170","153748680",80
"171","153748681",75
"172","153748683",85
"173","153748684",85
"174","153748685",95
"175","153748686",90
"176","153748689",85
"177","153748692",205
"178","153748694",190
"179","153748695",160
"180","153748696",195
"181","153748698",180
"182","153748701",180
"183","153748704",95
"184","153748705",95
"185","153748706",95
"186","153748709",175
"187","153748710",15
"188","153748712",10
"189","153748713",15
"190","153748720",90
"191","153748721",150
"192","153748722",150
"193","153748725",90
"194","153748735",40
"195","153748737",40
"196","153748740",25
"197","153748742",65
"198","153748743",85
"199","153748744",5
"200","153748745",25
"201","153748746",25
"202","153748753",25
"203","153748754",5
"204","153748755",25
"205","153748774",25
"206","153748775",70
"207","153748776",85
"208","153748778",60
"209","153748780",15
"210","153748785",60
"211","153748795",20
"212","153748796",45
"213","153748800",15
"214","153748801",45
"215","153748816",5
"216","153748817",10
"217","153748818",5
"218","153748819",5
"219","153748820",15
"220","153748832",10
"221","153748833",20
"222","153748834",10
"223","153748835",15
"224","153748837",60
"225","153748838",60
"226","153748839",45
"227","153748840",60
"228","153748842",125
"229","153748843",115
"230","153748851",125
"231","153748853",125
"232","153748904",15
"233","153748906",15
"234","153748907",15
"235","153748909",15
"236","153748912",15
"237","153748913",15
"238","153748914",145
"239","153748915",145
"240","153748917",5
"241","153748919",150
"242","153748920",5
"243","153748921",5
"244","153748922",155
"245","153748923",150
"246","153748925",95
"247","153748926",50
"248","153748927",50
"249","153748928",150
"250","153748929",50
"251","153748930",50
"252","153748932",15
"253","153748933",50
"254","153748934",205
"255","153748935",15
"256","153748936",25
"257","153748938",15
"258","153748940",15
"259","153748941",35
"260","153748942",25
"261","153748943",5
"262","153748944",25
"263","153748946",25
"264","153748947",10
"265","153748948",45
"266","153748949",30
"267","153748950",40
"268","153748951",125
"269","153748953",105
"270","153748959",105
"271","153748960",80
"272","153748963",10
"273","153748964",20
"274","153748966",15
"275","153748967",90
"276","153748969",110
"277","153748979",20
"278","153748982",30
"279","153748983",35
"280","153748986",70
"281","153748991",25
"282","153748993",5
"283","153748994",10
"284","153748996",25
"285","153748998",15
"286","153749006",45
"287","153749007",45
"288","153749008",70
"289","153749010",5
"290","153749011",5
"291","153749013",45
"292","153749015",45
"293","153749017",5
"294","153749018",50
"295","153749036",10
"296","153749037",10
"297","153749051",10
"298","153749092",5
"299","153749121",20
"300","153749129",15
"301","153749186",10
"302","153749190",10
"303","153749239",5
"304","153749358",10
"305","153749434",10
"306","153749443",5
"307","153749445",60
"308","153749448",60
"309","153749449",5
"310","153749450",10
"311","153749451",10
"312","153749452",5
"313","153749453",10
"314","153749455",70
"315","153749456",70
"316","153749457",70
"317","153749459",5
"318","153749461",5
"319","153749462",5
"320","153749465",5
"321","153749466",5
"322","153749467",5
"323","153749468",5
"324","153749471",5
"325","153749472",5
"326","153749475",5
"327","153749476",5
"328","153749477",5
"329","153749479",5
"330","153749480",5
"331","153749484",5
"332","153749485",15
"333","153749486",20
"334","153749487",25
"335","153749489",10
"336","153749490",5
"337","153749497",5
"338","153749502",5
"339","153749503",5
"340","153749504",15
"341","153749505",15
"342","153749506",15
"343","153749507",10
"344","153749508",5
"345","153749509",10
"346","153749511",5
"347","153749512",5
"348","153749513",5
"349","153749514",10
"350","153749517",5
"351","153749518",5
"352","153749519",10
"353","153749521",5
"354","153749523",5
"355","153749524",5
"356","153749530",10
"357","153749533",5
"358","153749537",10
"359","153749541",10
"360","153749544",5
"361","153749545",10
"362","153749546",10
"363","153749554",15
"364","153749556",20
"365","153749557",15
"366","153749558",10
"367","153749559",20
"368","153749581",5
"369","153749582",10
"370","153749583",10
"371","153749584",20
"372","153749585",20
"373","153749587",5
"374","153749589",5
"375","153749590",10
"376","153749592",10
"377","153749596",10
"378","153749598",5
"379","153749599",5
"380","153749601",5
"381","153749603",10
"382","153749606",5
"383","153749608",5
"384","153749609",20
"385","153749613",10
"386","153749614",10
"387","153749615",10
"388","153749616",5
"389","153749618",15
"390","153749619",5
"391","153749620",5
"392","153749621",5
"393","153749622",10
"394","153749624",5
"395","153749626",5
"396","153749630",55
"397","153749632",50
"398","153749633",5
"399","153749635",5
"400","153749639",5
"401","153749640",5
"402","153749642",5
"403","153749643",20
"404","153749644",30
"405","153749646",30
"406","153749647",20
"407","153749648",15
"408","153749649",5
"409","153749650",5
"410","153749651",5
"411","153749653",20
"412","153749655",5
"413","153749657",5
"414","153749659",5
"415","153749661",10
"416","153749664",5
"417","153749673",50
"418","153749677",55
"419","153749681",50
"420","153749870",20
"421","153749891",20
"422","153749893",25
"423","153749894",5
"424","153749895",20
"425","153749897",5
"426","153749898",25
"427","153749899",15
"428","153749900",15
"429","153749901",5
"430","153749902",20
"431","153749906",5
"432","153749907",5
"433","153749931",35
"434","153749932",15
"435","153749934",5
"436","153749941",5
"437","153749942",5
"438","153749945",5
"439","153749946",5
"440","153749947",10
"441","153749950",10
"442","153749951",10
"443","153749958",5
"444","153749961",5
"445","153749963",5
"446","153749964",5
"447","153749968",5
"448","153749969",5
"449","153749972",15
"450","153749973",5
"451","153749977",60
"452","153749978",25
"453","153749980",15
"454","153749982",115
"455","153749983",70
"456","153749984",30
"457","153749985",70
"458","153749986",20
"459","153749999",10
"460","153750001",10
"461","153750002",20
"462","153750003",100
"463","153750004",10
"464","153750005",55
"465","153750006",70
"466","153750007",45
"467","153750011",780
"468","153750012",620
"469","153750013",640
"470","153750015",5
"471","153750017",10
"472","153750018",10
"473","153750021",10
"474","153750025",5
"475","153750026",5
"476","153750027",5
"477","153750028",5
"478","153750038",5
"479","153750047",10
"480","153750054",5
"481","153750057",15
"482","153750073",10
"483","153750074",5
"484","153750075",5
"485","153750082",10
"486","153750083",10
"487","153750096",10
"488","153750097",15
"489","153750098",15
"490","153750103",25
"491","153750106",10
"492","153750119",5
"493","153750120",5
"494","153750130",40
"495","153750131",10
"496","153750134",10
"497","153750137",10
"498","153750160",10
"499","153750161",10
"500","153750162",10
"501","153750188",725
"502","153750196",10
"503","153750197",10
"504","153750199",10
"505","153750225",15
"506","153750226",15
"507","153750228",5
"508","153750230",5
"509","153750231",5
"510","153750238",5
"511","153750240",5
"512","153750242",5
"513","153750243",5
"514","153750245",15
"515","153750259",15
"516","153750263",15
"517","153750264",170
"518","153750265",15
"519","153750266",165
"520","153750267",165
"521","153750272",10
"522","153750273",10
"523","153750274",10
"524","153750275",10
"525","153750276",10
"526","153750278",10
"527","153750279",10
"528","153750286",25
"529","153750287",25
"530","153750288",25
"531","153750290",25
"532","153750291",25
"533","153750292",170
"534","153750296",5
"535","153750297",5
"536","153750298",160
"537","153750301",25
"538","153750302",210
"539","153750303",130
"540","153750305",140
"541","153750306",150
"542","153750307",150
"543","153750310",145
"544","153750314",210
"545","153750316",10
"546","153750317",165
"547","153750319",90
"548","153750320",200
"549","153750321",100
"550","153750322",175
"551","153750323",205
"552","153750324",100
"553","153750325",90
"554","153750327",75
"555","153750329",210
"556","153750330",100
"557","153750336",95
"558","153750337",90
"559","153750338",30
"560","153750339",30
"561","153750340",10
"562","153750341",10
"563","153750342",85
"564","153750343",55
"565","153750345",25
"566","153750347",35
"567","153750348",20
"568","153750350",5
"569","153750351",10
"570","153750352",30
"571","153750354",95
"572","153750355",85
"573","153750357",5
"574","153750359",30
"575","153750360",50
"576","153750361",20
"577","153750362",15
"578","153750363",15
"579","153750364",25
"580","153750365",25
"581","153750366",75
"582","153750367",10
"583","153750368",5
"584","153750369",50
"585","153750370",50
"586","153750371",55
"587","153750372",40
"588","153750373",10
"589","153750376",90
"590","153750377",95
"591","153750380",10
"592","153750435",5
"593","153750441",50
"594","153750443",45
"595","153750474",50
"596","153750475",50
"597","153750476",75
"598","153750492",190
"599","153750541",10
"600","153750542",10
"601","153750634",25
"602","153750635",85
"603","153750636",35
"604","153750637",60
"605","153750639",10
"606","153750641",10
"607","153750642",45
"608","153750643",35
"609","153750644",20
"610","153750645",10
"611","153750647",80
"612","153750648",95
"613","153750650",10
"614","153750651",75
"615","153750652",45
"616","153750659",45
"617","153750661",225
"618","153750662",30
"619","153750663",65
"620","153750664",130
"621","153750665",130
"622","153750666",265
"623","153750669",120
"624","153750670",120
"625","153750671",130
"626","153750674",365
"627","153750683",195
"628","153750688",5
"629","153750689",5
"630","153750698",55
"631","153750699",220
"632","153750703",60
"633","153750704",250
"634","153750740",205
"635","153750754",115
"636","153750756",255
"637","153750758",230
"638","153750760",210
"639","153750766",245
"640","153750767",230
"641","153750772",245
"642","153750908",10
"643","153750909",10
"644","153750939",40
"645","153750949",10
"646","153750950",110
"647","153750951",85
"648","153750952",135
"649","153750953",145
"650","153750954",145
"651","153750955",140
"652","153750956",225
"653","153750957",390
"654","153750958",140
"655","153750959",215
"656","153750960",230
"657","153750962",10
"658","153751057",20
"659","153751058",15
"660","153751079",10
"661","153751080",5
"662","153751081",10
"663","153751083",5
"664","153751095",5
"665","153751119",10
"666","153751120",10
"667","153751122",10
"668","153751123",10
"669","153751125",10
"670","153751126",10
"671","153751127",10
"672","153751129",10
"673","153751146",5
"674","153751156",5
"675","153751158",5
"676","153751160",10
"677","153751181",15
"678","153751188",20
"679","153751191",25
"680","153751192",25
"681","153751195",5
"682","153751222",25
"683","153751231",25
"684","153751234",25
"685","153751235",30
"686","153751239",30
"687","153751240",30
"688","153751242",30
"689","153751243",30
"690","153751244",25
"691","153751265",25
"692","153751266",25
"693","153751267",20
"694","153751269",20
"695","153751270",25
"696","153751271",25
"697","153751276",25
"698","153751279",25
"699","153751318",300
"700","153751320",300
"701","153751323",295
"702","153751324",40
"703","153751326",200
"704","153751327",290
"705","153751328",35
"706","153751330",320
"707","153751333",325
"708","153751334",330
"709","153751349",25
"710","153751350",30
"711","153751352",25
"712","153751355",20
"713","153751358",5
"714","153751359",5
"715","153751360",5
"716","153751361",35
"717","153751362",30
"718","153751364",30
"719","153751368",5
"720","153751369",35
"721","153751371",10
"722","153751372",25
"723","153751373",5
"724","153751375",10
"725","153751376",10
"726","153751377",10
"727","153751379",10
"728","153751386",35
"729","153751388",35
"730","153751421",490
"731","153751422",15
"732","153751446",520
"733","153751468",575
"734","153751501",10
"735","153751504",10
"736","153751536",15
"737","153751540",25
"738","153751562",5
"739","153751564",5
"740","153751566",5
"741","153751575",5
"742","153751621",10
"743","153751625",10
"744","153751636",75
"745","153751798",30
"746","153751799",10
"747","153751800",20
"748","153751802",5
"749","153751803",80
"750","153751804",85
"751","153751809",45
"752","153751811",65
"753","153751812",55
"754","153751822",50
"755","153751827",15
"756","153751828",10
"757","153751829",15
"758","153751865",5
"759","153751868",5
"760","153751870",5
"761","153751871",5
"762","153751872",5
"763","153751888",625
"764","153751894",645
"765","153751897",365
"766","153751905",5
"767","153751973",40
"768","153751976",40
"769","153751978",25
"770","153751979",35
"771","153751980",35
"772","153751981",35
"773","153751982",710
"774","153751983",1115
"775","153751984",275
"776","153751993",85
"777","153752002",445
"778","153752008",20
"779","153752009",1035
"780","153752047",1080
"781","153752049",1065
"782","153752050",1090
"783","153752055",890
"784","153752070",225
"785","153752098",5
"786","153752108",215
"787","153752115",15
"788","153752117",955
"789","153752119",980
"790","153752120",955
"791","153752121",50
"792","153752123",45
"793","153752124",45
"794","153752126",45
"795","153752128",45
"796","153752129",15
"797","153752130",45
"798","153752132",50
"799","153752133",35
"800","153752142",25
"801","153752144",20
"802","153752145",5
"803","153752146",5
"804","153752147",5
"805","153752148",20
"806","153752150",945
"807","153752152",20
"808","153752154",20
"809","153752155",15
"810","153752158",20
"811","153752159",960
"812","153752160",5
"813","153752162",20
"814","153752163",235
"815","153752165",20
"816","153752171",35
"817","153752172",770
"818","153752174",25
"819","153752175",245
"820","153752178",25
"821","153752207",10
"822","153752208",10
"823","153752214",5
"824","153752216",5
"825","153752219",5
"826","153752220",5
"827","153752221",5
"828","153752224",10
"829","153752227",10
"830","153752228",5
"831","153752230",5
"832","153752231",10
"833","153752241",15
"834","153752272",20
"835","153752274",5
"836","153752279",60
"837","153752280",25
"838","153752283",60
"839","153752284",25
"840","153752291",30
"841","153752293",30
"842","153752294",30
"843","153752295",30
"844","153752336",30
"845","153752338",30
"846","153752366",10
"847","153752407",5
"848","153752408",10
"849","153752410",5
"850","153752411",5
"851","153752413",5
"852","153752414",5
"853","153752416",10
"854","153752425",120
"855","153752426",125
"856","153752435",10
"857","153752438",50
"858","153752442",10
"859","153752443",50
"860","153752444",10
"861","153752446",50
"862","153752451",50
"863","153752457",5
"864","153752459",10
"865","153752461",10
"866","153752483",55
"867","153752484",55
"868","153752485",55
"869","153752486",5
"870","153752492",20
"871","153752537",20
"872","153752538",20
"873","153752553",15
"874","153752579",10
"875","153752580",15
"876","153752581",10
"877","153752583",15
"878","153752604",15
"879","153752605",30
"880","153752609",35
"881","153752616",35
"882","153752618",30
"883","153752620",40
"884","153752625",40
"885","153752661",10
"886","153752662",10
"887","153752663",10
"888","153752667",10
"889","153752669",5
"890","153752670",5
"891","153752680",10
"892","153752681",10
"893","153752692",35
"894","153752699",40
"895","153752702",50
"896","153752703",45
"897","153752704",45
"898","153752705",45
"899","153752709",10
"900","153752710",45
"901","153752712",35
"902","153752717",35
"903","153752720",15
"904","153752729",10
"905","153752731",5
"906","153752732",10
"907","153752733",15
"908","153752735",10
"909","153752738",5
"910","153752741",40
"911","153752742",30
"912","153752743",25
"913","153752746",25
"914","153752748",25
"915","153752749",15
"916","153752750",5
"917","153752751",15
"918","153752752",15
"919","153752753",15
"920","153752759",5
"921","153752760",5
"922","153752761",5
"923","153752762",40
"924","153752765",10
"925","153752769",5
"926","153752784",5
"927","153752789",5
"928","153752796",5
"929","153752797",5
"930","153752799",5
"931","153752810",5
"932","153752822",10
"933","153752825",10
"934","153752826",15
"935","153752828",10
"936","153752829",5
"937","153752830",10
"938","153752831",20
"939","153752833",20
"940","153752834",20
"941","153752839",10
"942","153752840",10
"943","153752843",10
"944","153752844",10
"945","153752845",20
"946","153752847",20
"947","153752850",30
"948","153752851",30
"949","153752854",5
"950","153752857",5
"951","153752865",30
"952","153752870",30
"953","153752872",5
"954","153752875",25
"955","153752876",25
"956","153752883",25
"957","153752884",35
"958","153752886",5
"959","153752895",25
"960","153752897",5
"961","153752898",35
"962","153752899",5
"963","153752900",40
"964","153752903",25
"965","153752905",40
"966","153752906",40
"967","153752940",5
"968","153752942",5
"969","153752945",5
"970","153752946",5
"971","153752962",5
"972","153752985",5
"973","153752995",5
"974","153753010",5
"975","153753012",5
"976","153753014",5
"977","153753018",10
"978","153753020",5
"979","153753021",10
"980","153753025",5
"981","153753026",25
"982","153753027",5
"983","153753028",10
"984","153753029",15
"985","153753030",15
"986","153753033",10
"987","153753034",10
"988","153753035",5
"989","153753036",5
"990","153753037",5
"991","153753038",5
"992","153753044",5
"993","153753052",5
"994","153753064",5
"995","153753065",5
"996","153753071",5
"997","153753073",5
"998","153753074",5
"999","153753079",5
"1000","153753107",5
"1001","153753109",5
"1002","153753110",5
"1003","153753111",5
"1004","153753135",5
"1005","153753146",5
"1006","153753151",5
"1007","153753154",5
"1008","153753156",5
"1009","153753180",5
"1010","153753184",5
"1011","153753206",5
"1012","153753207",5
"1013","153753227",5
"1014","153753228",10
"1015","153753229",5
"1016","153753230",5
"1017","153753233",5
"1018","153753236",5
"1019","153753239",5
"1020","153753241",5
"1021","153753295",5
"1022","153753338",10
"1023","153753339",20
"1024","153753344",15
"1025","153753347",5
"1026","153753359",15
"1027","153753362",15
"1028","153753368",25
"1029","153753378",25
"1030","153753379",20
"1031","153753383",25
"1032","153753384",25
"1033","153753389",25
"1034","153753391",15
"1035","153753392",40
"1036","153753397",60
"1037","153753400",90
"1038","153753401",65
"1039","153753404",80
"1040","153753409",70
"1041","153753410",75
"1042","153753412",70
"1043","153753419",75
"1044","153753420",30
"1045","153753421",40
"1046","153753428",30
"1047","153753431",15
"1048","153753432",5
"1049","153753454",240
"1050","153753458",255
"1051","153753459",250
"1052","153753491",65
"1053","153753492",45
"1054","153753494",80
"1055","153753497",80
"1056","153753641",40
"1057","153753642",40
"1058","153753651",50
"1059","153753652",5
"1060","153753658",70
"1061","153753660",70
"1062","153753661",70
"1063","153753663",70
"1064","153753665",35
"1065","153753668",85
"1066","153753669",55
"1067","153753678",60
"1068","153753681",50
"1069","153753689",5
"1070","153753730",30
"1071","153753732",10
"1072","153753734",5
"1073","153753865",10
"1074","153753876",10
"1075","153753877",10
"1076","153753879",10
"1077","153753881",10
"1078","153753902",5
"1079","153753908",5
"1080","153753909",5
"1081","153753914",5
"1082","153753918",45
"1083","153753943",10
"1084","153753946",10
"1085","153753947",10
"1086","153753948",10
"1087","153753955",5
"1088","153753987",5
"1089","153753999",5
"1090","153754071",10
"1091","153754072",10
"1092","153754089",5
"1093","153754092",5
"1094","153754095",5
"1095","153754096",5
"1096","153754097",5
"1097","153754100",5
"1098","153754106",5
"1099","153754111",5
"1100","153754136",310
"1101","153754144",5
"1102","153754145",5
"1103","153754147",670
"1104","153754149",340
"1105","153754150",670
"1106","153754151",335
"1107","153754155",215
"1108","153754156",210
"1109","153754157",195
"1110","153754158",185
"1111","153754160",95
"1112","153754161",80
"1113","153754162",90
"1114","153754163",95
"1115","153754164",45
"1116","153754165",5
"1117","153754166",85
"1118","153754167",100
"1119","153754170",20
"1120","153754171",25
"1121","153754172",15
"1122","153754173",45
"1123","153754175",35
"1124","153754176",35
"1125","153754180",40
"1126","153754184",15
"1127","153754186",30
"1128","153754187",10
"1129","153754188",10
"1130","153754189",10
"1131","153754191",10
"1132","153754192",30
"1133","153754194",40
"1134","153754196",40
"1135","153754197",45
"1136","153754198",40
"1137","153754199",40
"1138","153754200",45
"1139","153754201",45
"1140","153754224",5
"1141","153754225",5
"1142","153754239",40
"1143","153754273",30
"1144","153754274",15
"1145","153754275",45
"1146","153754277",45
"1147","153754278",30
"1148","153754279",20
"1149","153754280",45
"1150","153754285",45
"1151","153754286",20
"1152","153754303",5
"1153","153754305",45
"1154","153754306",45
"1155","153754309",45
"1156","153754311",25
"1157","153754317",5
"1158","153754318",5
"1159","153754322",5
"1160","153754323",5
"1161","153754324",5
"1162","153754329",5
"1163","153754331",5
"1164","153754335",5
"1165","153754336",10
"1166","153754337",5
"1167","153754338",30
"1168","153754341",10
"1169","153754342",15
"1170","153754344",15
"1171","153754347",5
"1172","153754348",30
"1173","153754350",60
"1174","153754351",65
"1175","153754353",10
"1176","153754355",10
"1177","153754357",5
"1178","153754358",10
"1179","153754361",10
"1180","153754378",10
"1181","153754383",45
"1182","153754385",5
"1183","153754386",45
"1184","153754391",55
"1185","153754392",55
"1186","153754393",5
"1187","153754394",5
"1188","153754395",5
"1189","153754396",5
"1190","153754398",75
"1191","153754400",75
"1192","153754401",60
"1193","153754403",65
"1194","153754409",50
"1195","153754412",50
"1196","153754414",55
"1197","153754418",5
"1198","153754419",95
"1199","153754420",10
"1200","153754422",5
"1201","153754425",10
"1202","153754433",5
"1203","153754436",5
"1204","153754437",5
"1205","153754438",5
"1206","153754439",5
"1207","153754440",5
"1208","153754484",5
"1209","153754509",5
"1210","153754511",5
"1211","153754516",5
"1212","153754535",25
"1213","153754536",15
"1214","153754537",35
