"","edgeuid","weekday","total_trips"
"1",153101208,"Sun",5
"2",153101210,"Sun",5
"3",153101214,"Sun",5
"4",153101215,"Sun",5
"5",153101217,"Sun",5
"6",153307224,"Sun",5
"7",153307229,"Sun",5
"8",153307229,"Fri",5
"9",153308590,"Mon",5
"10",153308590,"Tue",5
"11",153308612,"Tue",5
"12",153308615,"Tue",5
"13",153308616,"Tue",5
"14",153308620,"Tue",5
"15",153308626,"Tue",5
"16",153308633,"Tue",10
"17",153308641,"Tue",5
"18",153308642,"Tue",5
"19",153308653,"Tue",5
"20",153308655,"Tue",5
"21",153308657,"Tue",5
"22",153308658,"Tue",5
"23",153308669,"Tue",5
"24",153308671,"Tue",5
"25",153308672,"Tue",5
"26",153308673,"Tue",5
"27",153308674,"Tue",5
"28",153308675,"Tue",5
"29",153308676,"Tue",5
"30",153308677,"Mon",5
"31",153308677,"Tue",10
"32",153308677,"Wed",5
"33",153308677,"Fri",5
"34",153308677,"Sat",5
"35",153308682,"Tue",5
"36",153308683,"Mon",15
"37",153308683,"Tue",10
"38",153308683,"Fri",10
"39",153308685,"Tue",5
"40",153308702,"Tue",5
"41",153308703,"Tue",5
"42",153308929,"Sun",5
"43",153308962,"Sun",5
"44",153308967,"Sun",5
"45",153308989,"Sun",5
"46",153308991,"Sun",5
"47",153308992,"Sun",5
"48",153308993,"Fri",5
"49",153309120,"Tue",5
"50",153309120,"Thu",5
"51",153309185,"Sun",5
"52",153309204,"Sun",5
"53",153309205,"Sun",5
"54",153309206,"Sun",5
"55",153309208,"Sun",5
"56",153309209,"Sun",5
"57",153309209,"Thu",10
"58",153309209,"Fri",5
"59",153309210,"Sun",5
"60",153309210,"Fri",5
"61",153309213,"Sun",5
"62",153309214,"Sun",5
"63",153309216,"Sun",5
"64",153309217,"Sun",5
"65",153309221,"Sun",5
"66",153309225,"Sun",5
"67",153309225,"Tue",5
"68",153309225,"Thu",5
"69",153309225,"Fri",5
"70",153309227,"Sun",5
"71",153309228,"Thu",10
"72",153309238,"Thu",10
"73",153309254,"Sun",5
"74",153309259,"Sun",15
"75",153309260,"Sun",10
"76",153309263,"Sun",15
"77",153309265,"Sun",10
"78",153309270,"Sun",10
"79",153309273,"Sun",10
"80",153309274,"Sun",10
"81",153309278,"Sun",10
"82",153309279,"Sun",10
"83",153309281,"Sun",10
"84",153309282,"Sun",10
"85",153309302,"Sun",10
"86",153309306,"Sun",10
"87",153309307,"Sun",10
"88",153309308,"Sun",10
"89",153309313,"Sun",20
"90",153309313,"Tue",10
"91",153309313,"Thu",5
"92",153309315,"Sun",10
"93",153309316,"Sun",20
"94",153309316,"Tue",10
"95",153309316,"Thu",5
"96",153309321,"Sun",10
"97",153309322,"Sun",20
"98",153309322,"Tue",10
"99",153309322,"Thu",5
"100",153309325,"Sun",10
"101",153309328,"Sun",10
"102",153309330,"Sun",20
"103",153309330,"Tue",10
"104",153309330,"Thu",5
"105",153309331,"Sun",10
"106",153309334,"Sun",10
"107",153309336,"Sun",10
"108",153309337,"Sun",10
"109",153309341,"Sun",10
"110",153309370,"Mon",10
"111",153309371,"Mon",10
"112",153309373,"Mon",10
"113",153309374,"Mon",10
"114",153309385,"Mon",10
"115",153309392,"Mon",10
"116",153309394,"Mon",20
"117",153309394,"Wed",20
"118",153309394,"Sat",5
"119",153309395,"Mon",20
"120",153309395,"Wed",25
"121",153309395,"Sat",5
"122",153309398,"Mon",10
"123",153309400,"Mon",10
"124",153309442,"Sun",5
"125",153309442,"Mon",20
"126",153309442,"Wed",15
"127",153309442,"Sat",5
"128",153309443,"Sun",5
"129",153309443,"Mon",10
"130",153309466,"Sun",5
"131",153309466,"Mon",10
"132",153309467,"Sun",5
"133",153309467,"Mon",10
"134",153309468,"Sun",5
"135",153309468,"Mon",10
"136",153309468,"Sat",5
"137",153309469,"Sun",5
"138",153309469,"Mon",10
"139",153309471,"Mon",10
"140",153309472,"Sun",5
"141",153309472,"Mon",5
"142",153309473,"Sun",5
"143",153309473,"Mon",10
"144",153309479,"Sun",5
"145",153309479,"Mon",10
"146",153309484,"Sun",5
"147",153309484,"Mon",10
"148",153309486,"Sun",5
"149",153309486,"Mon",10
"150",153309487,"Sun",5
"151",153309487,"Mon",10
"152",153309488,"Sun",5
"153",153309488,"Mon",10
"154",153309498,"Sun",5
"155",153309498,"Mon",5
"156",153309499,"Sun",5
"157",153309499,"Mon",5
"158",153309500,"Sun",5
"159",153309501,"Mon",5
"160",153309502,"Sun",5
"161",153309505,"Mon",5
"162",153309507,"Sun",5
"163",153309507,"Mon",5
"164",153309508,"Mon",5
"165",153309510,"Mon",5
"166",153309512,"Mon",5
"167",153309513,"Mon",5
"168",153309559,"Sun",5
"169",153309563,"Sun",10
"170",153309565,"Sun",10
"171",153309566,"Sun",10
"172",153309567,"Sun",10
"173",153309570,"Sun",10
"174",153309571,"Sun",10
"175",153309572,"Sun",10
"176",153309573,"Sun",10
"177",153309577,"Sun",10
"178",153309607,"Sun",35
"179",153309607,"Mon",20
"180",153309607,"Tue",5
"181",153309607,"Wed",15
"182",153309607,"Fri",15
"183",153309607,"Sat",5
"184",153309608,"Sun",10
"185",153309609,"Sun",10
"186",153309611,"Sun",10
"187",153309620,"Sun",5
"188",153309621,"Sun",5
"189",153309622,"Sun",5
"190",153309624,"Sun",5
"191",153309632,"Sat",10
"192",153309640,"Sat",5
"193",153309653,"Sun",5
"194",153309748,"Fri",10
"195",153309750,"Fri",10
"196",153309752,"Fri",5
"197",153309755,"Sun",35
"198",153309755,"Mon",20
"199",153309755,"Wed",20
"200",153309755,"Thu",5
"201",153309755,"Fri",25
"202",153309755,"Sat",5
"203",153309758,"Sun",5
"204",153309758,"Fri",5
"205",153309760,"Sun",5
"206",153309760,"Fri",5
"207",153309771,"Sun",5
"208",153309771,"Wed",5
"209",153309771,"Fri",15
"210",153309773,"Sun",5
"211",153309773,"Mon",15
"212",153309773,"Wed",5
"213",153309773,"Fri",15
"214",153309776,"Sun",5
"215",153309776,"Mon",15
"216",153309776,"Wed",5
"217",153309776,"Fri",15
"218",153309778,"Sun",5
"219",153309778,"Fri",5
"220",153309893,"Sun",30
"221",153309893,"Mon",10
"222",153309893,"Tue",5
"223",153309893,"Wed",20
"224",153309893,"Thu",5
"225",153309893,"Fri",25
"226",153309893,"Sat",20
"227",153309923,"Sun",10
"228",153309923,"Wed",5
"229",153310006,"Sun",5
"230",153310055,"Sun",30
"231",153310055,"Mon",10
"232",153310055,"Tue",10
"233",153310055,"Wed",15
"234",153310055,"Thu",5
"235",153310055,"Fri",25
"236",153310055,"Sat",20
"237",153310056,"Sun",30
"238",153310056,"Mon",10
"239",153310056,"Tue",10
"240",153310056,"Wed",15
"241",153310056,"Thu",5
"242",153310056,"Fri",25
"243",153310056,"Sat",20
"244",153310062,"Sun",10
"245",153310063,"Sun",10
"246",153310064,"Sun",10
"247",153310067,"Sun",10
"248",153310068,"Sun",20
"249",153310068,"Thu",5
"250",153310068,"Sat",5
"251",153310072,"Sun",10
"252",153310079,"Sun",5
"253",153310079,"Wed",5
"254",153310079,"Fri",5
"255",153310081,"Sun",5
"256",153310081,"Wed",5
"257",153310081,"Fri",5
"258",153310082,"Sun",5
"259",153310082,"Wed",5
"260",153310082,"Fri",5
"261",153310097,"Sun",5
"262",153310097,"Wed",5
"263",153310097,"Fri",5
"264",153310216,"Sun",10
"265",153310216,"Wed",10
"266",153310216,"Fri",5
"267",153310217,"Sun",5
"268",153310218,"Sun",5
"269",153310218,"Wed",10
"270",153310218,"Fri",5
"271",153310219,"Sun",5
"272",153310220,"Sun",5
"273",153310221,"Sun",5
"274",153310224,"Sun",30
"275",153310224,"Mon",10
