"","edgeuid","weekday","total_trips"
"1",153742442,"Sun",110
"2",153742442,"Mon",20
"3",153742442,"Tue",35
"4",153742442,"Wed",20
"5",153742442,"Thu",25
"6",153742442,"Fri",40
"7",153742442,"Sat",105
"8",153742456,"Sun",10
"9",153742456,"Wed",5
"10",153742465,"Sun",110
"11",153742465,"Mon",20
"12",153742465,"Tue",30
"13",153742465,"Wed",20
"14",153742465,"Thu",25
"15",153742465,"Fri",40
"16",153742465,"Sat",100
"17",153742466,"Sun",85
"18",153742466,"Mon",20
"19",153742466,"Tue",35
"20",153742466,"Wed",20
"21",153742466,"Thu",30
"22",153742466,"Fri",20
"23",153742466,"Sat",110
"24",153742467,"Sun",85
"25",153742467,"Mon",20
"26",153742467,"Tue",35
"27",153742467,"Wed",20
"28",153742467,"Thu",30
"29",153742467,"Fri",20
"30",153742467,"Sat",110
"31",153742471,"Sun",10
"32",153742472,"Sun",10
"33",153742492,"Sun",5
"34",153742492,"Thu",10
"35",153742492,"Sat",10
"36",153742493,"Thu",5
"37",153742494,"Sun",10
"38",153742494,"Fri",5
"39",153742494,"Sat",5
"40",153742495,"Sun",10
"41",153742496,"Wed",10
"42",153742496,"Thu",5
"43",153742496,"Fri",10
"44",153742496,"Sat",10
"45",153742497,"Wed",10
"46",153742497,"Thu",5
"47",153742497,"Fri",5
"48",153742497,"Sat",5
"49",153742498,"Sun",15
"50",153742498,"Thu",10
"51",153742498,"Fri",5
"52",153742498,"Sat",5
"53",153742499,"Sun",10
"54",153742499,"Thu",10
"55",153742499,"Sat",10
"56",153742502,"Sun",5
"57",153742502,"Wed",5
"58",153742502,"Thu",5
"59",153742502,"Sat",5
"60",153742503,"Sun",10
"61",153742503,"Wed",5
"62",153742503,"Thu",10
"63",153742503,"Fri",10
"64",153742503,"Sat",10
"65",153742504,"Mon",5
"66",153742504,"Fri",5
"67",153742505,"Mon",10
"68",153742505,"Thu",5
"69",153742505,"Fri",5
"70",153742506,"Fri",10
"71",153742512,"Sun",85
"72",153742512,"Mon",20
"73",153742512,"Tue",35
"74",153742512,"Wed",20
"75",153742512,"Thu",30
"76",153742512,"Fri",20
"77",153742512,"Sat",110
"78",153742514,"Sun",80
"79",153742514,"Mon",20
"80",153742514,"Tue",35
"81",153742514,"Wed",25
"82",153742514,"Thu",25
"83",153742514,"Fri",30
"84",153742514,"Sat",95
"85",153742515,"Fri",10
"86",153742518,"Sun",10
"87",153742518,"Thu",5
"88",153742518,"Sat",10
"89",153742519,"Sun",130
"90",153742519,"Mon",20
"91",153742519,"Tue",35
"92",153742519,"Wed",30
"93",153742519,"Thu",30
"94",153742519,"Fri",50
"95",153742519,"Sat",140
"96",153742520,"Mon",5
"97",153742520,"Wed",20
"98",153742520,"Sat",5
"99",153742521,"Sun",115
"100",153742521,"Mon",20
"101",153742521,"Tue",35
"102",153742521,"Wed",35
"103",153742521,"Thu",30
"104",153742521,"Fri",50
"105",153742521,"Sat",140
"106",153742524,"Sun",125
"107",153742524,"Mon",20
"108",153742524,"Tue",35
"109",153742524,"Wed",35
"110",153742524,"Thu",30
"111",153742524,"Fri",50
"112",153742524,"Sat",135
"113",153745541,"Sun",20
"114",153745541,"Mon",10
"115",153745541,"Tue",5
"116",153745541,"Wed",5
"117",153745541,"Thu",40
"118",153745541,"Fri",10
"119",153745541,"Sat",45
"120",153745548,"Thu",5
"121",153745549,"Sun",5
"122",153745549,"Mon",5
"123",153745549,"Wed",5
"124",153745549,"Thu",5
"125",153745549,"Sat",5
"126",153745550,"Sun",5
"127",153745550,"Mon",5
"128",153745550,"Wed",5
"129",153745550,"Thu",5
"130",153745550,"Sat",20
"131",153745553,"Sun",35
"132",153745553,"Mon",40
"133",153745553,"Tue",25
"134",153745553,"Wed",40
"135",153745553,"Thu",20
"136",153745553,"Fri",25
"137",153745553,"Sat",75
"138",153745558,"Sat",5
"139",153745560,"Sun",5
"140",153745560,"Mon",5
"141",153745560,"Wed",5
"142",153745560,"Thu",5
"143",153745560,"Sat",10
"144",153745561,"Sun",5
"145",153745561,"Mon",5
"146",153745561,"Wed",5
"147",153745561,"Thu",5
"148",153745561,"Sat",15
"149",153745563,"Sun",10
"150",153745563,"Wed",5
"151",153745563,"Thu",5
"152",153745565,"Sun",10
"153",153745565,"Wed",5
"154",153745565,"Thu",5
"155",153745569,"Sun",5
"156",153745569,"Wed",5
"157",153745579,"Sat",5
"158",153745582,"Sat",5
"159",153745590,"Wed",5
"160",153745590,"Sat",5
"161",153745591,"Wed",5
"162",153745591,"Sat",5
"163",153745594,"Wed",5
"164",153745594,"Sat",5
"165",153745596,"Wed",5
"166",153745596,"Sat",5
"167",153745599,"Sun",5
"168",153745599,"Wed",10
"169",153745600,"Sun",10
"170",153745600,"Mon",5
"171",153745600,"Wed",15
"172",153745600,"Thu",5
"173",153745600,"Fri",5
"174",153745600,"Sat",25
"175",153745601,"Sun",5
"176",153745601,"Wed",5
"177",153745601,"Fri",5
"178",153745601,"Sat",25
"179",153745608,"Sun",5
"180",153745608,"Fri",5
"181",153745608,"Sat",20
"182",153745609,"Sun",10
"183",153745609,"Wed",10
"184",153745609,"Thu",5
"185",153745609,"Sat",10
"186",153745612,"Sun",15
"187",153745612,"Wed",10
"188",153745612,"Thu",5
"189",153745612,"Sat",10
"190",153745618,"Sun",15
"191",153745618,"Wed",10
"192",153745618,"Thu",5
"193",153745618,"Sat",10
"194",153745620,"Sun",5
"195",153745620,"Fri",5
"196",153745620,"Sat",20
"197",153745621,"Sat",10
"198",153745623,"Fri",5
"199",153745623,"Sat",5
"200",153745626,"Fri",5
"201",153745626,"Sat",5
"202",153745638,"Sun",5
"203",153745638,"Wed",15
"204",153745638,"Thu",5
"205",153745638,"Fri",5
"206",153745638,"Sat",10
"207",153745639,"Sun",10
"208",153745639,"Tue",5
"209",153745639,"Wed",15
"210",153745639,"Thu",5
"211",153745639,"Fri",5
"212",153745639,"Sat",15
"213",153745640,"Sun",10
"214",153745640,"Tue",5
"215",153745640,"Wed",15
"216",153745640,"Thu",5
"217",153745640,"Fri",5
"218",153745640,"Sat",15
"219",153745646,"Sat",5
"220",153745647,"Sat",5
"221",153745648,"Sat",10
"222",153745653,"Sat",10
"223",153745654,"Sat",10
"224",153745656,"Thu",5
"225",153745656,"Sat",10
"226",153745658,"Wed",5
"227",153745658,"Thu",5
"228",153745658,"Sat",10
"229",153745662,"Sat",5
"230",153745663,"Sun",20
"231",153745663,"Tue",5
"232",153745663,"Wed",15
"233",153745663,"Thu",5
"234",153745663,"Fri",5
"235",153745663,"Sat",35
"236",153745665,"Sat",5
"237",153745666,"Wed",5
"238",153745666,"Thu",5
"239",153745668,"Sun",15
"240",153745668,"Tue",5
"241",153745668,"Wed",15
