"","edgeuid","weekday","total_trips"
"1","153742442","Sun",10
"2","153742442","Wed",5
"3","153742442","Sat",5
"4","153742453","Sat",5
"5","153742465","Sun",10
"6","153742465","Wed",5
"7","153742465","Sat",5
"8","153742466","Sun",15
"9","153742466","Mon",10
"10","153742466","Tue",5
"11","153742466","Wed",5
"12","153742466","Fri",15
"13","153742466","Sat",30
"14","153742467","Sun",15
"15","153742467","Mon",10
"16","153742467","Tue",10
"17","153742467","Wed",5
"18","153742467","Fri",15
"19","153742467","Sat",35
"20","153742471","Sun",20
"21","153742471","Tue",5
"22","153742471","Wed",5
"23","153742471","Fri",5
"24","153742471","Sat",5
"25","153742472","Sun",20
"26","153742472","Tue",5
"27","153742472","Wed",10
"28","153742472","Thu",10
"29","153742472","Fri",20
"30","153742472","Sat",25
"31","153742492","Sun",30
"32","153742492","Mon",10
"33","153742492","Tue",10
"34","153742492","Sat",20
"35","153742494","Sun",25
"36","153742494","Mon",10
"37","153742494","Tue",10
"38","153742494","Wed",10
"39","153742494","Fri",15
"40","153742494","Sat",30
"41","153742495","Sun",20
"42","153742495","Tue",5
"43","153742495","Wed",5
"44","153742495","Sat",10
"45","153742496","Sun",25
"46","153742496","Mon",5
"47","153742496","Tue",5
"48","153742496","Wed",15
"49","153742496","Fri",15
"50","153742496","Sat",35
"51","153742497","Sun",25
"52","153742497","Mon",5
"53","153742497","Tue",5
"54","153742497","Wed",15
"55","153742497","Fri",15
"56","153742497","Sat",35
"57","153742498","Sun",25
"58","153742498","Mon",5
"59","153742498","Tue",10
"60","153742498","Fri",15
"61","153742498","Sat",30
"62","153742499","Sun",40
"63","153742499","Mon",10
"64","153742499","Tue",10
"65","153742499","Sat",20
"66","153742502","Sun",10
"67","153742502","Mon",5
"68","153742502","Tue",30
"69","153742502","Wed",5
"70","153742502","Fri",5
"71","153742502","Sat",10
"72","153742503","Sun",25
"73","153742503","Mon",5
"74","153742503","Tue",30
"75","153742503","Wed",15
"76","153742503","Fri",20
"77","153742503","Sat",35
"78","153742504","Sun",20
"79","153742504","Mon",5
"80","153742504","Tue",10
"81","153742504","Wed",5
"82","153742504","Fri",15
"83","153742504","Sat",30
"84","153742505","Wed",10
"85","153742505","Sat",5
"86","153742506","Sun",20
"87","153742506","Mon",5
"88","153742506","Tue",5
"89","153742506","Wed",5
"90","153742506","Fri",15
"91","153742506","Sat",25
"92","153742508","Sun",15
"93","153742508","Mon",10
"94","153742508","Wed",5
"95","153742508","Fri",5
"96","153742508","Sat",15
"97","153742509","Sat",5
"98","153742510","Sun",35
"99","153742510","Mon",10
"100","153742510","Wed",10
"101","153742510","Fri",5
"102","153742510","Sat",25
"103","153742511","Sat",5
"104","153742512","Sun",15
"105","153742512","Mon",10
"106","153742512","Tue",10
"107","153742512","Wed",10
"108","153742512","Fri",15
"109","153742512","Sat",35
"110","153742514","Sun",15
"111","153742514","Mon",10
"112","153742514","Tue",30
"113","153742514","Wed",5
"114","153742514","Thu",5
"115","153742514","Fri",20
"116","153742514","Sat",35
"117","153742515","Sun",20
"118","153742515","Mon",5
"119","153742515","Tue",10
"120","153742515","Wed",5
"121","153742515","Fri",15
"122","153742515","Sat",25
"123","153742518","Sun",5
"124","153742518","Tue",5
"125","153742518","Wed",5
"126","153742518","Fri",5
"127","153742518","Sat",5
"128","153742519","Sun",40
"129","153742519","Mon",20
"130","153742519","Tue",10
"131","153742519","Wed",25
"132","153742519","Thu",10
"133","153742519","Fri",30
"134","153742519","Sat",70
"135","153742520","Sun",5
"136","153742520","Mon",5
"137","153742520","Tue",10
"138","153742520","Wed",10
"139","153742520","Thu",10
"140","153742520","Fri",15
"141","153742520","Sat",25
"142","153742521","Sun",30
"143","153742521","Mon",15
"144","153742521","Tue",10
"145","153742521","Wed",15
"146","153742521","Thu",10
"147","153742521","Fri",40
"148","153742521","Sat",50
"149","153742523","Sun",5
"150","153742523","Wed",5
"151","153742524","Sun",25
"152","153742524","Mon",20
"153","153742524","Tue",15
"154","153742524","Wed",30
"155","153742524","Thu",10
"156","153742524","Fri",40
"157","153742524","Sat",70
"158","153742525","Sun",10
"159","153742525","Mon",5
"160","153742525","Wed",5
"161","153742525","Sat",5
"162","153742526","Sun",15
"163","153742526","Sat",5
"164","153742527","Sun",20
"165","153742527","Wed",5
"166","153742527","Sat",5
"167","153742531","Sun",15
"168","153742531","Wed",5
"169","153742531","Sat",10
"170","153742533","Sat",5
"171","153742534","Fri",5
"172","153742534","Sat",5
"173","153742537","Wed",5
"174","153742537","Fri",5
"175","153742537","Sat",5
"176","153742538","Sun",10
"177","153742538","Fri",5
"178","153742538","Sat",10
"179","153742539","Sun",5
"180","153742539","Fri",5
"181","153742539","Sat",15
"182","153742540","Fri",5
"183","153742540","Sat",15
"184","153742541","Sun",5
"185","153742541","Fri",5
"186","153742541","Sat",5
"187","153742542","Sat",5
"188","153742543","Sun",5
"189","153742543","Fri",5
"190","153742544","Sun",5
"191","153742544","Fri",5
"192","153742545","Sun",5
"193","153742545","Fri",5
"194","153742545","Sat",5
"195","153742546","Sun",5
"196","153742546","Fri",5
"197","153742546","Sat",5
"198","153742547","Sun",5
"199","153742547","Fri",5
"200","153742547","Sat",5
"201","153742548","Sun",5
"202","153742548","Fri",5
"203","153742548","Sat",5
"204","153742664","Sun",5
"205","153742664","Fri",5
"206","153742664","Sat",5
"207","153742665","Sun",5
"208","153742665","Fri",5
"209","153742665","Sat",5
"210","153742666","Sun",5
"211","153742666","Fri",5
"212","153742666","Sat",5
"213","153742669","Sun",5
"214","153742669","Fri",5
"215","153742669","Sat",5
"216","153742671","Sat",5
"217","153742676","Sun",40
"218","153742676","Mon",5
"219","153742676","Wed",15
"220","153742676","Sat",15
"221","153742678","Sun",35
"222","153742678","Mon",5
"223","153742678","Wed",15
"224","153742678","Fri",15
"225","153742678","Sat",20
"226","153742680","Sun",20
"227","153742680","Fri",10
"228","153742682","Sun",15
"229","153742682","Mon",10
"230","153742682","Fri",20
"231","153742682","Sat",20
"232","153742684","Sun",30
"233","153742684","Mon",10
"234","153742684","Fri",10
"235","153742684","Sat",25
"236","153742698","Sat",5
"237","153742699","Sun",40
"238","153742699","Mon",5
"239","153742699","Wed",15
"240","153742699","Sat",20
"241","153742700","Sun",120
"242","153742700","Mon",10
"243","153742700","Tue",20
"244","153742700","Wed",30
"245","153742700","Thu",35
"246","153742700","Fri",30
"247","153742700","Sat",150
"248","153742701","Sun",25
"249","153742701","Mon",5
"250","153742701","Wed",15
"251","153742701","Sat",10
"252","153742702","Sun",195
"253","153742702","Mon",15
"254","153742702","Tue",25
"255","153742702","Wed",75
"256","153742702","Thu",35
"257","153742702","Fri",40
"258","153742702","Sat",200
"259","153742703","Sun",125
"260","153742703","Mon",10
"261","153742703","Tue",15
"262","153742703","Wed",50
"263","153742703","Thu",35
"264","153742703","Fri",40
"265","153742703","Sat",175
"266","153742704","Sun",155
"267","153742704","Mon",30
"268","153742704","Tue",25
"269","153742704","Wed",55
"270","153742704","Thu",40
"271","153742704","Fri",40
"272","153742704","Sat",140
"273","153742706","Sun",25
"274","153742706","Wed",5
"275","153742706","Sat",10
"276","153742708","Sun",235
"277","153742708","Mon",50
"278","153742708","Tue",25
"279","153742708","Wed",70
"280","153742708","Thu",80
"281","153742708","Fri",70
"282","153742708","Sat",235
"283","153742709","Sun",420
"284","153742709","Mon",75
"285","153742709","Tue",45
"286","153742709","Wed",100
"287","153742709","Thu",135
"288","153742709","Fri",105
"289","153742709","Sat",405
"290","153742711","Sun",615
"291","153742711","Mon",115
"292","153742711","Tue",95
"293","153742711","Wed",180
"294","153742711","Thu",185
"295","153742711","Fri",190
"296","153742711","Sat",735
"297","153742714","Sun",10
"298","153742715","Sun",640
"299","153742715","Mon",85
"300","153742715","Tue",130
"301","153742715","Wed",185
"302","153742715","Thu",175
"303","153742715","Fri",190
"304","153742715","Sat",815
"305","153742716","Sun",490
"306","153742716","Mon",80
"307","153742716","Tue",125
"308","153742716","Wed",160
"309","153742716","Thu",170
"310","153742716","Fri",155
"311","153742716","Sat",660
"312","153745550","Wed",10
"313","153745550","Thu",5
"314","153745550","Sat",10
"315","153745553","Sun",5
"316","153745553","Wed",5
"317","153745553","Thu",5
"318","153745553","Sat",10
"319","153745559","Wed",5
"320","153745559","Thu",5
"321","153745559","Sat",10
"322","153745561","Wed",10
"323","153745561","Thu",5
"324","153745561","Sat",15
"325","153745563","Wed",5
"326","153745563","Thu",5
"327","153745563","Sat",15
"328","153745565","Wed",5
"329","153745565","Thu",5
"330","153745565","Sat",15
"331","153745569","Wed",5
"332","153745569","Sat",5
"333","153745579","Sat",5
"334","153745580","Wed",5
"335","153745580","Thu",5
"336","153745580","Sat",15
"337","153745582","Sat",5
"338","153745583","Wed",5
"339","153745583","Thu",5
"340","153745583","Sat",15
"341","153745584","Wed",5
"342","153745584","Thu",5
"343","153745584","Sat",15
"344","153745590","Sun",5
"345","153745590","Mon",5
"346","153745590","Tue",5
"347","153745590","Fri",10
"348","153745590","Sat",10
"349","153745591","Sun",5
"350","153745591","Mon",5
"351","153745591","Tue",5
"352","153745591","Fri",10
"353","153745591","Sat",10
"354","153745594","Sun",5
"355","153745594","Mon",5
"356","153745594","Tue",5
"357","153745594","Fri",10
"358","153745594","Sat",10
"359","153745596","Sun",5
"360","153745596","Mon",5
"361","153745596","Tue",5
"362","153745596","Fri",10
"363","153745596","Sat",10
"364","153745599","Wed",5
"365","153745600","Sun",5
"366","153745600","Mon",5
"367","153745600","Tue",5
"368","153745600","Wed",5
"369","153745600","Fri",10
"370","153745600","Sat",5
"371","153745601","Sun",5
"372","153745601","Mon",5
"373","153745601","Tue",5
"374","153745601","Fri",5
"375","153745601","Sat",5
"376","153745608","Fri",5
"377","153745608","Sat",5
"378","153745609","Wed",5
