"","edgeuid","year","total_trips"
"1",153101208,2019,5
"2",153101210,2019,5
"3",153101214,2019,5
"4",153101215,2019,5
"5",153101217,2019,5
"6",153307224,2021,5
"7",153307229,2021,10
"8",153308590,2019,10
"9",153308612,2019,5
"10",153308615,2019,5
"11",153308616,2019,5
"12",153308620,2019,5
"13",153308626,2019,5
"14",153308633,2019,5
"15",153308633,2021,5
"16",153308641,2019,5
"17",153308642,2019,5
"18",153308653,2019,5
"19",153308655,2019,5
"20",153308657,2019,5
"21",153308658,2019,5
"22",153308669,2019,5
"23",153308671,2019,5
"24",153308672,2019,5
"25",153308673,2019,5
"26",153308674,2019,5
"27",153308675,2019,5
"28",153308676,2019,5
"29",153308677,2019,5
"30",153308677,2021,25
"31",153308682,2019,5
"32",153308683,2019,5
"33",153308683,2021,30
"34",153308685,2019,5
"35",153308702,2019,5
"36",153308703,2019,5
"37",153308929,2019,5
"38",153308962,2019,5
"39",153308967,2019,5
"40",153308989,2019,5
"41",153308991,2019,5
"42",153308992,2019,5
"43",153308993,2021,5
"44",153309120,2021,10
"45",153309185,2019,5
"46",153309204,2019,5
"47",153309205,2019,5
"48",153309206,2019,5
"49",153309208,2019,5
"50",153309209,2019,5
"51",153309209,2021,15
"52",153309210,2019,5
"53",153309210,2021,5
"54",153309213,2019,5
"55",153309214,2019,5
"56",153309216,2019,5
"57",153309217,2019,5
"58",153309221,2019,5
"59",153309225,2019,5
"60",153309225,2021,15
"61",153309227,2019,5
"62",153309228,2021,10
"63",153309238,2021,10
"64",153309254,2019,5
"65",153309259,2019,15
"66",153309260,2019,10
"67",153309263,2019,15
"68",153309265,2019,10
"69",153309270,2019,10
"70",153309273,2019,10
"71",153309274,2019,10
"72",153309278,2019,10
"73",153309279,2019,10
"74",153309281,2019,10
"75",153309282,2019,10
"76",153309302,2019,10
"77",153309306,2019,10
"78",153309307,2019,10
"79",153309308,2019,10
"80",153309313,2019,10
"81",153309313,2021,25
"82",153309315,2019,10
"83",153309316,2019,10
"84",153309316,2021,25
"85",153309321,2019,10
"86",153309322,2019,10
"87",153309322,2021,25
"88",153309325,2019,10
"89",153309328,2019,10
"90",153309330,2019,10
"91",153309330,2021,25
"92",153309331,2019,10
"93",153309334,2019,10
"94",153309336,2019,10
"95",153309337,2019,10
"96",153309341,2019,10
"97",153309370,2019,10
"98",153309371,2019,10
"99",153309373,2019,10
"100",153309374,2019,10
"101",153309385,2019,10
"102",153309392,2019,10
"103",153309394,2019,10
"104",153309394,2021,35
"105",153309395,2019,10
"106",153309395,2021,40
"107",153309398,2019,10
"108",153309400,2021,10
"109",153309442,2019,15
"110",153309442,2021,30
"111",153309443,2019,15
"112",153309466,2019,15
"113",153309467,2019,15
"114",153309468,2019,20
"115",153309469,2019,15
"116",153309471,2019,10
"117",153309472,2019,10
"118",153309473,2019,15
"119",153309479,2019,15
"120",153309484,2019,15
"121",153309486,2019,15
"122",153309487,2019,15
"123",153309488,2019,15
"124",153309498,2019,10
"125",153309499,2019,10
"126",153309500,2019,5
"127",153309501,2019,5
"128",153309502,2019,5
"129",153309505,2019,5
"130",153309507,2019,10
"131",153309508,2019,5
"132",153309510,2019,5
"133",153309512,2019,5
"134",153309513,2019,5
"135",153309559,2021,5
"136",153309563,2019,10
"137",153309565,2019,10
"138",153309566,2019,10
"139",153309567,2019,10
"140",153309570,2019,10
"141",153309571,2019,10
"142",153309572,2019,10
"143",153309573,2019,10
"144",153309577,2019,10
"145",153309607,2019,95
"146",153309608,2019,10
"147",153309609,2019,10
"148",153309611,2019,10
"149",153309620,2019,5
"150",153309621,2019,5
"151",153309622,2019,5
"152",153309624,2019,5
"153",153309632,2019,10
"154",153309640,2019,5
"155",153309653,2019,5
"156",153309748,2021,10
"157",153309750,2021,10
"158",153309752,2019,5
"159",153309755,2019,110
"160",153309758,2019,10
"161",153309760,2019,10
"162",153309771,2019,10
"163",153309771,2021,15
"164",153309773,2019,25
"165",153309773,2021,15
"166",153309776,2019,25
"167",153309776,2021,15
"168",153309778,2019,10
"169",153309893,2019,115
"170",153309923,2019,15
"171",153310006,2021,5
"172",153310055,2019,115
"173",153310056,2019,115
"174",153310062,2019,10
"175",153310063,2019,10
"176",153310064,2019,10
"177",153310067,2019,10
"178",153310068,2019,5
"179",153310068,2021,25
"180",153310072,2019,10
"181",153310079,2019,15
"182",153310081,2019,15
"183",153310082,2019,15
"184",153310097,2019,15
"185",153310216,2019,25
"186",153310217,2019,5
"187",153310218,2019,20
"188",153310219,2019,5
"189",153310220,2019,5
"190",153310221,2019,5
"191",153310224,2019,90
"192",153310226,2019,95
"193",153310228,2019,10
"194",153310235,2021,10
"195",153310247,2021,5
"196",153310311,2019,15
"197",153310312,2019,25
"198",153310312,2021,10
"199",153310313,2019,25
"200",153310319,2019,130
"201",153310320,2019,125
"202",153310389,2019,25
"203",153310390,2019,25
"204",153310393,2019,25
"205",153310396,2019,35
"206",153310398,2019,25
"207",153310399,2019,40
"208",153310400,2019,30
"209",153310401,2019,25
"210",153310405,2019,35
"211",153310406,2019,30
"212",153310425,2019,5
"213",153310426,2019,5
"214",153310490,2019,5
"215",153310491,2019,5
"216",153310520,2019,5
"217",153310529,2021,10
"218",153310539,2019,5
"219",153310543,2021,5
"220",153310550,2019,120
"221",153310558,2019,110
"222",153310567,2019,5
"223",153310573,2019,10
"224",153310590,2019,10
"225",153310671,2019,15
"226",153310673,2019,15
"227",153310674,2019,15
"228",153310702,2019,15
"229",153310708,2019,20
"230",153310715,2019,20
"231",153310716,2019,20
"232",153310717,2019,20
"233",153310719,2019,15
"234",153310725,2019,20
"235",153310788,2019,5
"236",153310789,2019,5
"237",153310790,2019,5
"238",153310791,2019,5
"239",153310802,2019,20
"240",153310865,2019,10
"241",153310866,2019,10
"242",153310868,2021,5
"243",153310870,2019,10
"244",153310872,2019,10
"245",153310873,2019,10
"246",153310876,2019,10
"247",153310876,2021,30
"248",153310885,2019,5
"249",153310888,2019,5
"250",153310889,2019,5
"251",153310890,2019,5
"252",153310891,2019,5
"253",153310892,2019,5
"254",153310894,2019,5
"255",153310895,2019,5
"256",153310896,2019,5
"257",153310925,2019,5
"258",153310926,2019,5
"259",153310929,2019,5
"260",153310933,2019,5
"261",153310933,2021,30
"262",153310940,2019,5
"263",153310941,2019,5
"264",153310942,2019,5
"265",153310943,2019,5
"266",153310947,2019,5
"267",153310948,2019,5
"268",153310949,2019,5
"269",153310950,2021,5
"270",153310955,2019,5
"271",153310956,2019,25
"272",153310957,2019,15
"273",153310958,2019,30
"274",153310959,2019,30
"275",153310960,2019,30
"276",153310962,2019,25
"277",153310966,2019,25
"278",153310966,2021,50
"279",153310967,2019,25
"280",153310967,2021,50
"281",153310971,2019,25
"282",153310973,2019,40
"283",153310974,2019,10
"284",153310985,2019,5
"285",153310988,2019,5
"286",153310989,2019,30
"287",153310991,2019,10
"288",153310992,2019,10
"289",153310993,2019,40
"290",153310994,2019,5
"291",153310995,2019,30
"292",153310995,2021,50
"293",153311002,2019,25
"294",153311003,2019,25
"295",153311004,2019,25
"296",153311019,2019,25
"297",153311024,2019,25
"298",153311028,2019,25
"299",153311031,2019,25
"300",153311035,2019,10
"301",153311049,2019,25
"302",153311055,2019,25
"303",153311056,2019,5
"304",153311120,2021,5
"305",153311201,2019,5
"306",153311208,2019,10
"307",153311214,2019,5
"308",153311215,2019,45
"309",153311215,2021,35
"310",153311216,2019,30
"311",153311221,2019,20
"312",153311240,2019,20
"313",153311253,2019,20
"314",153311254,2019,20
"315",153311274,2019,5
"316",153311275,2019,30
"317",153311276,2019,75
"318",153311276,2021,45
"319",153311292,2019,30
"320",153311293,2019,20
"321",153311300,2019,30
"322",153311301,2019,100
"323",153311329,2019,70
"324",153311330,2019,60
"325",153311331,2019,5
"326",153311332,2019,5
"327",153311352,2019,5
"328",153311353,2019,35
"329",153311354,2019,5
"330",153311354,2021,5
"331",153311358,2019,35
"332",153311371,2019,70
"333",153311372,2019,60
"334",153311373,2019,35
"335",153311374,2019,35
"336",153311378,2019,35
"337",153311378,2021,15
"338",153311379,2019,35
"339",153311381,2019,20
"340",153311382,2019,55
"341",153311383,2019,5
"342",153311387,2019,75
"343",153311389,2019,75
"344",153311391,2019,15
"345",153311399,2019,75
"346",153311402,2019,75
"347",153311421,2019,5
"348",153311422,2019,5
"349",153311424,2019,5
"350",153311432,2019,5
"351",153311433,2019,5
"352",153311437,2019,5
"353",153311461,2019,15
"354",153311462,2019,15
"355",153311462,2021,10
"356",153311465,2019,15
"357",153311466,2019,15
"358",153311467,2019,15
"359",153311469,2019,15
"360",153311470,2019,5
"361",153311471,2019,10
"362",153311474,2019,10
"363",153311476,2019,5
"364",153311481,2019,50
"365",153311482,2019,30
"366",153311483,2019,45
"367",153311484,2019,45
"368",153311485,2019,65
"369",153311485,2021,115
"370",153311486,2019,35
"371",153311487,2019,75
"372",153311489,2019,25
"373",153311490,2019,30
"374",153311493,2019,20
"375",153311494,2019,20
"376",153311494,2021,60
"377",153311498,2019,20
"378",153311498,2021,55
"379",153311499,2019,75
"380",153311500,2019,75
"381",153311502,2019,75
"382",153311504,2019,75
"383",153311506,2019,75
"384",153311511,2019,75
"385",153311519,2019,5
"386",153311521,2019,5
"387",153311523,2019,5
"388",153311524,2019,5
"389",153311527,2019,5
"390",153311545,2019,10
"391",153311546,2019,75
"392",153311549,2019,75
"393",153311554,2019,80
"394",153311560,2019,80
"395",153311564,2019,80
"396",153311564,2021,55
"397",153311566,2019,60
"398",153311580,2019,60
"399",153311582,2019,60
"400",153311584,2019,60
"401",153311588,2019,60
"402",153311590,2019,5
"403",153311602,2019,15
"404",153311604,2019,15
"405",153311604,2021,10
"406",153311605,2019,10
"407",153311605,2021,10
"408",153311607,2019,15
"409",153311611,2019,10
"410",153311618,2019,10
"411",153311620,2019,10
"412",153311626,2019,10
"413",153311628,2019,10
"414",153311633,2019,15
"415",153311633,2021,10
"416",153311636,2019,10
"417",153311638,2019,15
"418",153311638,2021,10
"419",153311639,2019,15
"420",153311639,2021,5
"421",153311640,2019,15
"422",153311640,2021,10
"423",153311646,2019,15
"424",153311650,2019,15
"425",153311671,2019,5
"426",153311672,2019,5
"427",153311672,2021,25
"428",153311677,2019,5
"429",153311681,2019,5
"430",153311692,2019,10
"431",153311693,2019,10
"432",153311694,2019,10
"433",153311700,2019,10
"434",153311705,2019,10
"435",153311706,2019,10
"436",153311709,2019,10
"437",153311712,2019,10
"438",153311713,2019,10
"439",153311714,2019,10
"440",153311715,2019,10
"441",153311717,2019,10
"442",153311719,2019,10
"443",153311720,2019,5
"444",153311722,2019,25
"445",153311723,2019,30
"446",153311724,2019,35
"447",153311725,2019,30
"448",153311726,2019,35
"449",153311726,2021,55
"450",153311728,2019,35
"451",153311728,2021,50
"452",153311729,2019,70
"453",153311731,2019,60
"454",153311731,2021,115
"455",153311732,2019,65
"456",153311733,2019,70
"457",153311734,2019,70
"458",153311736,2019,40
"459",153311737,2019,15
"460",153311738,2019,85
"461",153311739,2019,40
"462",153311741,2019,85
"463",153311741,2021,50
"464",153311742,2019,85
"465",153311743,2019,85
"466",153311745,2019,10
"467",153311746,2019,5
"468",153311747,2019,85
"469",153311750,2019,35
"470",153311751,2019,40
"471",153311752,2019,40
"472",153311753,2021,10
"473",153311754,2021,10
"474",153311759,2019,35
"475",153311762,2019,35
"476",153311765,2019,35
"477",153311767,2019,35
"478",153311769,2019,5
"479",153311786,2019,5
"480",153311803,2019,5
"481",153311807,2019,5
"482",153311808,2019,5
"483",153311812,2019,5
"484",153311814,2019,5
"485",153311816,2019,5
"486",153311817,2019,5
"487",153311819,2019,85
"488",153311825,2019,5
"489",153311826,2019,5
"490",153311827,2019,10
"491",153311828,2019,5
"492",153311830,2019,15
"493",153311830,2021,10
"494",153311831,2019,5
"495",153311834,2021,10
"496",153311836,2019,20
"497",153311837,2019,15
"498",153311837,2021,15
"499",153311839,2019,20
"500",153311841,2019,20
"501",153311843,2019,20
"502",153311844,2019,15
"503",153311845,2019,15
"504",153311861,2019,5
"505",153311862,2019,5
"506",153311864,2019,80
"507",153311866,2019,80
"508",153311867,2019,80
"509",153311871,2019,5
"510",153311872,2019,5
"511",153311873,2019,80
"512",153311874,2019,5
"513",153311875,2019,85
"514",153311875,2021,55
"515",153311876,2019,5
"516",153311878,2019,5
"517",153311879,2019,5
"518",153311880,2019,85
"519",153311881,2019,5
"520",153311882,2019,5
"521",153311884,2019,85
"522",153311885,2019,5
"523",153311887,2019,5
"524",153311890,2019,10
"525",153311894,2019,5
"526",153311895,2019,10
"527",153311896,2019,5
"528",153311897,2019,5
"529",153311898,2019,5
"530",153311904,2019,20
"531",153311905,2019,20
"532",153311906,2021,5
"533",153311907,2019,5
"534",153311908,2019,5
"535",153311910,2019,5
"536",153311910,2021,35
"537",153311911,2019,20
"538",153311912,2019,5
"539",153311913,2019,5
"540",153311919,2019,95
"541",153311920,2019,5
"542",153311926,2019,5
"543",153311928,2019,5
"544",153311929,2019,5
"545",153311934,2019,95
"546",153311935,2019,95
"547",153311942,2019,50
"548",153311943,2019,50
"549",153311945,2019,45
"550",153311951,2019,45
"551",153311961,2019,15
"552",153311962,2019,15
"553",153311962,2021,10
"554",153311970,2019,15
"555",153311975,2019,15
"556",153311976,2019,10
"557",153311977,2019,10
"558",153311980,2019,10
"559",153311982,2019,5
"560",153311983,2019,15
"561",153311985,2019,5
"562",153311986,2019,5
"563",153311988,2019,15
"564",153311989,2019,10
"565",153311989,2021,5
"566",153311990,2019,15
"567",153311991,2019,5
"568",153311991,2021,10
"569",153312003,2019,5
"570",153312007,2019,5
"571",153312010,2019,5
"572",153312041,2019,5
"573",153312042,2019,5
"574",153312044,2019,5
"575",153312046,2019,15
"576",153312067,2019,15
"577",153312071,2019,15
"578",153312073,2019,5
"579",153312073,2021,45
"580",153312075,2019,20
"581",153312083,2019,10
"582",153312087,2019,5
"583",153312088,2019,10
"584",153312090,2019,5
"585",153312101,2019,20
"586",153312101,2021,80
"587",153312102,2019,20
"588",153312105,2019,30
"589",153312106,2019,45
"590",153312107,2019,30
"591",153312108,2019,10
"592",153312110,2019,70
"593",153312112,2019,10
"594",153312113,2019,10
"595",153312114,2019,10
"596",153312117,2019,55
"597",153312119,2019,5
"598",153312120,2019,10
"599",153312120,2021,5
"600",153312123,2019,5
"601",153312126,2019,15
"602",153312127,2019,15
"603",153312128,2021,5
"604",153312134,2019,5
"605",153312135,2019,55
"606",153312135,2021,30
"607",153312137,2019,5
"608",153312143,2019,55
"609",153312144,2019,55
"610",153312151,2019,15
"611",153312152,2019,15
"612",153312153,2019,5
"613",153312154,2019,5
"614",153312155,2019,55
"615",153312157,2019,20
"616",153312160,2019,5
"617",153312163,2019,50
"618",153312165,2019,55
"619",153312165,2021,30
"620",153312166,2019,55
"621",153312179,2019,55
"622",153312180,2019,55
"623",153312202,2019,5
"624",153312202,2021,5
"625",153312203,2021,5
"626",153312205,2019,5
"627",153312207,2019,5
"628",153312208,2019,5
"629",153312210,2019,5
"630",153312211,2019,5
"631",153312222,2019,5
"632",153312224,2019,5
"633",153312226,2019,5
"634",153312228,2019,5
"635",153312231,2019,5
"636",153312232,2019,10
"637",153312234,2019,5
"638",153312237,2019,10
"639",153312238,2019,5
"640",153312241,2019,5
"641",153312243,2019,5
"642",153312264,2019,10
"643",153312265,2019,15
"644",153312266,2019,20
"645",153312267,2019,60
"646",153312268,2019,55
"647",153312269,2019,10
"648",153312270,2019,60
"649",153312271,2019,45
"650",153312276,2019,60
"651",153312278,2019,60
"652",153312281,2019,50
"653",153312284,2019,85
"654",153312290,2019,90
"655",153312292,2019,85
"656",153312293,2019,95
"657",153312293,2021,230
"658",153312298,2019,10
"659",153312307,2019,90
"660",153312308,2019,90
"661",153312309,2019,95
"662",153312310,2019,90
"663",153312313,2019,90
"664",153312315,2019,10
"665",153312316,2019,90
"666",153312326,2019,55
"667",153312327,2021,45
"668",153312334,2019,55
"669",153312340,2019,50
"670",153312341,2019,55
"671",153312348,2019,55
"672",153312353,2019,5
"673",153312356,2019,5
"674",153312357,2019,5
